Relative Time Stamp (s),Barometic Pressure (kPa),Estimated Altitude a.s.l. (m)
311861.914387375, 102.234741210938, 0.0
 311862.939272375, 102.238723754883, -0.332931518554688
 311863.967163208, 102.242706298828, -0.660575866699219
 311864.989289333, 102.246376037598, -0.961799621582031
 311866.013982917, 102.246376037598, -0.961799621582031
 311867.039292417, 102.246376037598, -0.961799621582031
 311868.034117625, 102.246643066406, -0.982940673828125
 311868.974743708, 102.249160766602, -1.19432830810547
 311869.925199667, 102.249160766602, -1.19432830810547
 311870.872880083, 102.252082824707, -1.43213653564453
 311871.824702083, 102.253158569336, -1.52197265625
 311872.770774, 102.252082824707, -1.43213653564453
 311873.720062417, 102.253158569336, -1.52197265625
 311874.672501208, 102.262298583984, -2.27767944335938
 311875.617685208, 102.266746520996, -2.64759826660156
 311876.569709875, 102.306983947754, -5.97164154052734
 311877.517872417, 102.306983947754, -5.97164154052734
 311878.466510792, 102.304748535156, -5.78667449951172
 311879.413684625, 102.295539855957, -5.02568817138672
 311880.3648965, 102.293083190918, -4.81958770751953
 311881.311385917, 102.259864807129, -2.07685852050781
 311882.263266625, 102.253471374512, -1.54839324951172
 311883.209468458, 102.242904663086, -0.676429748535156
 311884.158594625, 102.239807128906, -0.41748046875
 311885.113361083, 102.239807128906, -0.41748046875
 311886.0583395, 102.240653991699, -0.491470336914062
 311887.007331417, 102.240653991699, -0.491470336914062
 311887.958644125, 102.24341583252, -0.718711853027344
 311888.904265208, 102.243423461914, -0.718711853027344
 311889.85272475, 102.245094299316, -0.856109619140625
 311890.8017345, 102.245094299316, -0.856109619140625
 311891.7545595, 102.244705200195, -0.82440185546875
 311892.699893333, 102.244705200195, -0.82440185546875
 311893.652608875, 102.244705200195, -0.82440185546875
 311894.600961625, 102.243179321289, -0.69757080078125
 311895.548623375, 102.242881774902, -0.676429748535156
 311896.495755667, 102.243179321289, -0.69757080078125
 311897.449746875, 102.242881774902, -0.676429748535156
 311898.393790833, 102.241943359375, -0.597160339355469
 311899.34284575, 102.241943359375, -0.597160339355469
 311900.296064708, 102.242958068848, -0.681716918945312
 311901.240782417, 102.242958068848, -0.681716918945312
 311902.193835417, 102.242958068848, -0.681716918945312
 311903.140329458, 102.243278503418, -0.708137512207031
 311904.089484875, 102.243278503418, -0.708137512207031
 311905.03627425, 102.243278503418, -0.708137512207031
 311905.989356417, 102.242752075195, -0.660575866699219
 311906.934138833, 102.243827819824, -0.750419616699219
 311907.883436583, 102.244010925293, -0.766273498535156
 311908.835760417, 102.245010375977, -0.850822448730469
 311909.781458167, 102.245010375977, -0.850822448730469
 311910.733868958, 102.244293212891, -0.792694091796875
 311911.679252958, 102.24048614502, -0.475616455078125
 311912.631873083, 102.24048614502, -0.475616455078125
 311913.577268292, 102.240493774414, -0.475616455078125
 311914.5274715, 102.240905761719, -0.512603759765625
 311915.475740292, 102.242202758789, -0.618301391601562
 311916.424465458, 102.24390411377, -0.755699157714844
 311917.373646875, 102.24390411377, -0.755699157714844
 311918.325686167, 102.243194580078, -0.69757080078125
 311919.27573075, 102.242797851562, -0.665863037109375
 311920.221094, 102.242477416992, -0.639434814453125
 311921.17425025, 102.242286682129, -0.623580932617188
 311922.119586833, 102.24104309082, -0.523178100585938
 311923.069699333, 102.24104309082, -0.523178100585938
 311924.0218025, 102.241676330566, -0.576019287109375
 311924.967503917, 102.24201965332, -0.602447509765625
 311925.919030042, 102.24201965332, -0.602447509765625
 311926.866182792, 102.242973327637, -0.681716918945312
 311927.817104, 102.242973327637, -0.681716918945312
 311928.76877125, 102.242530822754, -0.644721984863281
 311929.714595375, 102.242530822754, -0.644721984863281
 311930.666054833, 102.242530822754, -0.644721984863281
 311931.616368292, 102.242469787598, -0.639434814453125
 311932.563705375, 102.238525390625, -0.311790466308594
 311933.516720667, 102.234764099121, -0.005279541015625
 311934.464573958, 102.227958679199, 0.560173034667969
 311935.413805417, 102.21858215332, 1.33701324462891
 311936.367780167, 102.208717346191, 2.15084838867188
 311937.314050083, 102.201469421387, 2.74801635742188
 311938.266422917, 102.192474365234, 3.49314880371094
 311939.215823292, 102.185935974121, 4.03218078613281
 311940.164278792, 102.175415039062, 4.90415191650391
 311941.115177417, 102.163856506348, 5.86067199707031
 311942.069413083, 102.154365539551, 6.64279174804688
 311943.01620875, 102.143981933594, 7.50418853759766
 311943.964749375, 102.128959655762, 8.74607849121094
 311944.919596583, 102.119247436523, 9.54934692382812
 311945.865115125, 102.106414794922, 10.6115570068359
 311946.816737583, 102.092658996582, 11.7477569580078
 311947.766332083, 102.080528259277, 12.751838684082
 311948.714318167, 102.06600189209, 13.9514503479004
 311949.667220792, 102.049591064453, 15.3096046447754
 311950.614323667, 102.033920288086, 16.6096267700195
 311951.563651875, 102.018295288086, 17.9043617248535
 311952.517280208, 102.000617980957, 19.362922668457
 311953.463326583, 101.988037109375, 20.4092826843262
 311954.414629833, 101.972274780273, 21.7145881652832
 311955.368369292, 101.956939697266, 22.9828987121582
 311956.31288325, 101.937950134277, 24.5524368286133
 311957.263476833, 101.921806335449, 25.8947372436523
 311958.212739042, 101.910583496094, 26.8248329162598
 311959.162671583, 101.91056060791, 26.8248329162598
 311960.113712167, 101.908767700195, 26.9728050231934
 311961.062448708, 101.91056060791, 26.8248329162598
 311962.012433667, 101.912284851074, 26.6821479797363
 311962.967395208, 101.9306640625, 25.1601715087891
 311963.912269542, 101.971778869629, 21.751579284668
 311964.864364083, 102.037002563477, 16.3559608459473
 311965.815986625, 102.108589172363, 10.431884765625
 311966.762347792, 102.153800964355, 6.69035339355469
 311967.711948125, 102.171211242676, 5.25293731689453
 311968.66916725, 102.171211242676, 5.25293731689453
 311969.611986542, 102.150619506836, 6.95458984375
 311970.564839292, 102.150619506836, 6.95458984375
 311971.515661792, 102.161521911621, 6.05091857910156
 311972.462032583, 102.222427368164, 1.01465606689453
 311973.412353292, 102.222427368164, 1.01465606689453
 311974.367505292, 102.225631713867, 0.750419616699219
