Relative Time Stamp (s),Latitude,Longitude,Altitude,Horizontal Accuracy,Vertical Accuracy
311861.166903208, 51.4034296526121, -0.512761333957792, 15.2437400817871, 30.0, 4.0
 311861.530208333, 51.4034213964375, -0.512751275673986, 15.2819480895996, 10.0, 4.0
 311862.529925667, 51.4034250006558, -0.512746665627242, 15.0029563903809, 10.0, 4.0
 311863.52971175, 51.4034312451737, -0.512747587636591, 14.9268455505371, 10.0, 4.0
 311864.542486708, 51.403437447782, -0.512747419998527, 14.8991355895996, 10.0, 4.0
 311865.545929, 51.403442644562, -0.51274557597983, 14.8302268981934, 30.0, 4.0
 311866.530380417, 51.4034465002375, -0.512742474675656, 14.6620750427246, 10.0, 4.0
 311867.536126792, 51.4034537086742, -0.51275731064427, 14.4577293395996, 10.0, 4.0
 311868.528218458, 51.4034594083684, -0.512779187411547, 14.0863914489746, 10.0, 4.0
 311869.540680833, 51.4034632640438, -0.512811290100694, 14.1421775817871, 10.0, 4.0
 311870.536180417, 51.4034638088675, -0.512848254293681, 14.2402610778809, 10.0, 4.0
 311871.536601375, 51.4034648146959, -0.51287750713575, 14.3867454528809, 30.0, 4.0
 311872.537269458, 51.4034647308769, -0.512887733057619, 14.3092308044434, 30.0, 4.0
 311873.533745167, 51.4034649404244, -0.512877758592845, 14.4676170349121, 30.0, 4.0
 311874.535725208, 51.403466365348, -0.512867197394849, 14.4865379333496, 30.0, 4.0
 311875.532488542, 51.4034706820281, -0.512850433588506, 14.4870872497559, 30.0, 4.0
 311876.535790375, 51.4034706820281, -0.512850433588506, 14.5251121520996, 30.0, 4.0
 311877.529013042, 51.4034706820281, -0.512850433588506, 14.4853782653809, 30.0, 4.0
 311878.530475083, 51.4034706820281, -0.512850433588506, 14.5204734802246, 30.0, 4.0
 311879.529477667, 51.4034706820281, -0.512850433588506, 14.5430564880371, 30.0, 4.0
 311880.523323208, 51.4034550916882, -0.512775499374152, 14.5133934020996, 30.0, 4.0
 311881.521172708, 51.4034550916882, -0.512775499374152, 14.5130271911621, 30.0, 4.0
 311882.524266583, 51.4034550916882, -0.512775499374152, 14.5130271911621, 30.0, 4.0
 311883.527032958, 51.4034550916882, -0.512775499374152, 14.5129661560059, 30.0, 4.0
 311884.524989625, 51.4034550916882, -0.512775499374152, 14.5132713317871, 30.0, 4.0
 311885.528724625, 51.4034550916882, -0.512775499374152, 14.5132102966309, 30.0, 4.0
 311886.52526275, 51.4034550916882, -0.512775499374152, 14.5132102966309, 30.0, 4.0
 311887.53392325, 51.4034550916882, -0.512775499374152, 14.5132102966309, 30.0, 4.0
 311888.536908417, 51.4034550916882, -0.512775499374152, 14.5367088317871, 30.0, 4.0
 311889.533115667, 51.4034550916882, -0.512775499374152, 14.5433006286621, 30.0, 4.0
 311890.536879917, 51.4034550916882, -0.512775499374152, 14.5437889099121, 30.0, 4.0
 311891.528149917, 51.4034550916882, -0.512775499374152, 14.5437889099121, 30.0, 4.0
 311892.52043425, 51.4034550916882, -0.512775499374152, 14.5437278747559, 30.0, 4.0
 311893.521256375, 51.4034621900926, -0.512783666568792, 14.5437326431274, 200.0, 10.0
 311899.525850208, 51.403461168568, -0.512777091935754, 12.5120506286621, 30.0, 8.0
 311900.524431333, 51.403461168568, -0.512777091935754, 14.5497703552246, 30.0, 4.0
 311901.527361792, 51.403461168568, -0.512777091935754, 14.5499534606934, 30.0, 4.0
 311902.532744958, 51.403461168568, -0.512777091935754, 14.5498924255371, 30.0, 4.0
 311903.530867, 51.403461168568, -0.512777091935754, 14.5498924255371, 30.0, 4.0
 311904.537816, 51.403461168568, -0.512777091935754, 14.5498313903809, 30.0, 4.0
