Relative Time Stamp (s),Barometic Pressure (kPa),Estimated Altitude a.s.l. (m)
85124.60025175, 101.52559661865234, 0.0
 85125.62368045833, 101.5266342163086, -0.08983802795410156
 85126.63504370835, 101.52767181396484, -0.1743927001953125
 85127.65873416667, 101.52767181396484, -0.1743927001953125
 85128.66920504168, 101.52660369873047, -0.08455467224121094
 85129.6882665, 101.52660369873047, -0.08455467224121094
 85130.66529891668, 101.5284423828125, -0.2378082275390625
 85131.60824029167, 101.5284423828125, -0.2378082275390625
 85132.5515445, 101.5271224975586, -0.1268310546875
 85133.49334083335, 101.5271224975586, -0.1268310546875
 85134.43202525, 101.5271224975586, -0.1268310546875
 85135.37361120834, 101.52378845214844, 0.14797019958496094
 85136.315079, 101.52378845214844, 0.14797019958496094
 85137.260245625, 101.53240203857422, -0.5654563903808594
 85138.20057312501, 101.53240203857422, -0.5654563903808594
 85139.14300466666, 101.53153991699219, -0.49675559997558594
 85140.08161366667, 101.53114318847656, -0.4597644805908203
 85141.02333925001, 101.53114318847656, -0.4597644805908203
 85141.96488975, 101.5268783569336, -0.10569190979003906
 85142.90958958335, 101.52611541748047, -0.04227638244628906
 85143.850662375, 101.52555847167969, 0.0
 85144.79320775, 101.52611541748047, -0.04227638244628906
 85145.73237308335, 101.53022003173828, -0.38577842712402344
 85146.67289625, 101.53083801269531, -0.4386253356933594
 85147.61437804168, 101.53148651123047, -0.4914722442626953
 85148.55927129167, 101.53199768066406, -0.5337486267089844
 85149.50030816667, 101.54100799560547, -1.2841682434082031
 85150.44241183334, 101.54100799560547, -1.2841682434082031
 85151.38274041667, 101.53942108154297, -1.1520519256591797
 85152.32260579168, 101.53849029541016, -1.0727825164794922
 85153.26415129167, 101.53649139404297, -0.9089584350585938
 85154.21102620834, 101.53221130371094, -0.5496025085449219
 85155.14891054167, 101.52925872802734, -0.30650901794433594
 85156.09212333334, 101.52925872802734, -0.30650901794433594
 85157.032412625, 101.52925872802734, -0.30650901794433594
 85157.97272345834, 101.5285873413086, -0.24837875366210938
 85158.91480529167, 101.52845001220703, -0.2378082275390625
 85159.85865875, 101.52845001220703, -0.2378082275390625
 85160.79861866667, 101.52926635742188, -0.30650901794433594
 85161.74184058335, 101.52989196777344, -0.3593559265136719
 85162.68805633334, 101.52996826171875, -0.3646392822265625
 85163.62356854168, 101.53532409667969, -0.8085498809814453
 85164.56541179167, 101.5381088256836, -1.0410747528076172
 85165.509691625, 101.54067993164062, -1.2524585723876953
 85166.449259625, 101.54067993164062, -1.2524585723876953
 85167.392399, 101.524658203125, 0.0792694091796875
 85168.33494337501, 101.51368713378906, 0.9882278442382812
 85169.279106125, 101.51022338867188, 1.2735986709594727
 85170.21714237501, 101.51022338867188, 1.2735986709594727
 85171.15924508334, 101.51022338867188, 1.2735986709594727
 85172.10134229167, 101.5251693725586, 0.031707763671875
 85173.04344845834, 101.52764892578125, -0.16910934448242188
 85173.98561316667, 101.52764892578125, -0.16910934448242188
 85174.93328541667, 101.52703857421875, -0.12154579162597656
 85175.87173633334, 101.52350616455078, 0.1743927001953125
 85176.81449, 101.52703857421875, -0.12154579162597656
 85177.75927029167, 101.52752685546875, -0.16382408142089844
 85178.69669762501, 101.52845764160156, -0.2378082275390625
 85179.63893820834, 101.52845764160156, -0.2378082275390625
 85180.58251466668, 101.52987670898438, -0.35407066345214844
 85181.52631583334, 101.53065490722656, -0.4227714538574219
 85182.4657095, 101.53065490722656, -0.4227714538574219
 85183.40956716667, 101.53065490722656, -0.4227714538574219
 85184.35572062501, 101.53067016601562, -0.4227714538574219
 85185.29501925, 101.53205871582031, -0.5390338897705078
 85186.23846895834, 101.53254699707031, -0.5813102722167969
 85187.18150029167, 101.5328140258789, -0.6024494171142578
 85188.12010904167, 101.5328140258789, -0.6024494171142578
 85189.06253845834, 101.53277587890625, -0.5971641540527344
 85190.00499395834, 101.53010559082031, -0.3752098083496094
 85190.94750950001, 101.5269546508789, -0.11626243591308594
 85191.89011208333, 101.52607727050781, -0.04227638244628906
 85192.83279016668, 101.52566528320312, -0.0052852630615234375
 85193.77618329167, 101.52566528320312, -0.0052852630615234375
 85194.72123370833, 101.52284240722656, 0.22723960876464844
 85195.66085741667, 101.52494049072266, 0.05284690856933594
 85196.60536137501, 101.52494049072266, 0.05284690856933594
 85197.54786270834, 101.52656555175781, -0.0792694091796875
 85198.49543858334, 101.53034973144531, -0.3963470458984375
 85199.43648120834, 101.53218841552734, -0.5496025085449219
 85200.37801854167, 101.53218841552734, -0.5496025085449219
 85201.32058195834, 101.53057861328125, -0.41748619079589844
 85202.26516625, 101.5301742553711, -0.3804931640625
 85203.20861779168, 101.52645111083984, -0.07398414611816406
 85204.14638225001, 101.525634765625, -0.0052852630615234375
 85205.08926229167, 101.525634765625, -0.0052852630615234375
 85206.033796, 101.52790832519531, -0.19024658203125
 85206.97502791668, 101.5281753540039, -0.21667098999023438
 85207.91804016667, 101.52983093261719, -0.35407066345214844
 85208.86199450001, 101.5302734375, -0.3910636901855469
 85209.80551429167, 101.5302734375, -0.3910636901855469
 85210.746698125, 101.53004455566406, -0.36992454528808594
 85211.68964708335, 101.5290756225586, -0.29065513610839844
 85212.63248929167, 101.52787780761719, -0.19024658203125
 85213.57698158333, 101.52684020996094, -0.10569190979003906
 85214.5184425, 101.52549743652344, 0.0052852630615234375
 85215.46150525, 101.52479553222656, 0.06341552734375
 85216.40442925, 101.52349090576172, 0.1743927001953125
 85217.34782729167, 101.52311706542969, 0.2061004638671875
 85218.29531395834, 101.52173614501953, 0.32236289978027344
 85219.23395566667, 101.52165985107422, 0.3276481628417969
 85220.177845875, 101.52173614501953, 0.32236289978027344
 85221.12160691667, 101.52268981933594, 0.24309349060058594
 85222.06811245834, 101.52273559570312, 0.2378082275390625
 85223.00764029167, 101.52398681640625, 0.13211631774902344
 85223.94933879167, 101.52439880371094, 0.10040855407714844
 85224.89352616668, 101.52706909179688, -0.12154579162597656
 85225.83768233334, 101.52706909179688, -0.12154579162597656
 85226.78407695834, 101.52461242675781, 0.0792694091796875
 85227.72353358334, 101.52202606201172, 0.2959403991699219
 85228.66868808334, 101.52198028564453, 0.3012237548828125
 85229.61009366668, 101.51891326904297, 0.5548877716064453
 85230.55233554167, 101.51891326904297, 0.5548877716064453
 85231.49719520834, 101.51963806152344, 0.4914722442626953
 85232.43986379167, 101.52082061767578, 0.3963489532470703
 85233.38415020834, 101.52139282226562, 0.348785400390625
 85234.32929041667, 101.52154541015625, 0.3329315185546875
 85235.27275625001, 101.52203369140625, 0.2959403991699219
 85236.2139265, 101.52210235595703, 0.29065513610839844
 85237.15682254167, 101.52210235595703, 0.29065513610839844
 85238.09962316666, 101.52210235595703, 0.29065513610839844
 85239.04461395834, 101.522216796875, 0.2800865173339844
 85239.99120925, 101.522216796875, 0.2800865173339844
 85240.930729625, 101.52169036865234, 0.32236289978027344
 85241.87310158333, 101.52155303955078, 0.3329315185546875
 85242.81619604168, 101.52061462402344, 0.4122028350830078
 85243.76188558334, 101.52017974853516, 0.44919395446777344
 85244.7057965, 101.52017974853516, 0.44919395446777344
 85245.64660016667, 101.52181243896484, 0.3117942810058594
 85246.59084637501, 101.52227020263672, 0.27480125427246094
 85247.53370245834, 101.52361297607422, 0.16382408142089844
 85248.47923537501, 101.52408599853516, 0.1268310546875
 85249.42439870833, 101.52408599853516, 0.1268310546875
 85250.367946125, 101.52203369140625, 0.2959403991699219
 85251.31070941668, 101.52189636230469, 0.30650901794433594
 85252.25462166667, 101.52054595947266, 0.41748619079589844
 85253.19657825, 101.52054595947266, 0.41748619079589844
 85254.140132, 101.55188751220703, -2.1878414154052734
 85255.08384637501, 101.55188751220703, -2.1878414154052734
 85256.02774412501, 101.5462417602539, -1.717508316040039
 85256.97165783333, 101.54174041748047, -1.3422985076904297
 85257.91545720834, 101.53285217285156, -0.6024494171142578
 85258.86489854167, 101.5072021484375, 1.5272607803344727
 85259.80681820834, 101.5072021484375, 1.5272607803344727
 85260.75115104167, 101.52841186523438, -0.23252487182617188
 85261.694429875, 101.54618072509766, -1.7122230529785156
 85262.63610758334, 101.56608581542969, -3.3663158416748047
 85263.57917454168, 101.58236694335938, -4.719182968139648
 85264.52688591667, 101.58236694335938, -4.719182968139648
 85265.46728133335, 101.57307434082031, -3.9476261138916016
 85266.4110015, 101.571533203125, -3.815509796142578
 85267.355207125, 101.56888580322266, -3.5988388061523438
 85268.29902175, 101.56476593017578, -3.255338668823242
 85269.24317066667, 101.55061340332031, -2.0821475982666016
 85270.187795, 101.52849578857422, -0.24309349060058594
 85271.133710875, 101.49988555908203, 2.1349945068359375
 85272.080347375, 101.47230529785156, 4.42852783203125
 85273.02318245833, 101.45744323730469, 5.665133476257324
 85273.96764558334, 101.45744323730469, 5.665133476257324
 85274.90903616667, 101.47276306152344, 4.391535758972168
 85275.853428125, 101.49425506591797, 2.605327606201172
 85276.79936100001, 101.51765441894531, 0.6605796813964844
 85277.74247866667, 101.52339172363281, 0.17967796325683594
 85278.68951458334, 101.54706573486328, -1.7862071990966797
 85279.631163625, 101.57115173339844, -3.783802032470703
 85280.57570654167, 101.60295104980469, -6.426120758056641
 85281.52447437501, 101.62428283691406, -8.201761245727539
 85282.46644062501, 101.62428283691406, -8.201761245727539
 85283.41020091667, 101.61519622802734, -7.446056365966797
 85284.35337425, 101.58256530761719, -4.735036849975586
 85285.299197, 101.5511474609375, -2.1244258880615234
 85286.244754625, 101.53367614746094, -0.6711483001708984
 85287.190499, 101.51593780517578, 0.8032655715942383
 85288.13153504167, 101.51593780517578, 0.8032655715942383
 85289.07608704167, 101.518798828125, 0.5654563903808594
 85290.02369633334, 101.518798828125, 0.5654563903808594
 85290.96555266668, 101.52310180664062, 0.2061004638671875
 85291.91060045834, 101.52310180664062, 0.2061004638671875
 85292.85488004168, 101.52954864501953, -0.3276481628417969
 85293.80187858334, 101.52954864501953, -0.3276481628417969
 85294.745693125, 101.52954864501953, -0.3276481628417969
 85295.68998766667, 101.53137969970703, -0.48090171813964844
 85296.63995254168, 101.53137969970703, -0.48090171813964844
 85297.58154883333, 101.5298843383789, -0.3593559265136719
 85298.52421916668, 101.5298843383789, -0.3593559265136719
 85299.46812108334, 101.5298843383789, -0.3593559265136719
 85300.41281241667, 101.5291748046875, -0.2959403991699219
 85301.35754841666, 101.52857208251953, -0.24837875366210938
 85302.30214433334, 101.52857208251953, -0.24837875366210938
 85303.24675075001, 101.52861022949219, -0.253662109375
 85304.19543020833, 101.53202056884766, -0.5337486267089844
 85305.14018545834, 101.53202056884766, -0.5337486267089844
 85306.08549416668, 101.531494140625, -0.4914722442626953
 85307.02601879167, 101.53118896484375, -0.46504783630371094
 85307.97038220834, 101.53056335449219, -0.412200927734375
 85308.91510995834, 101.5282211303711, -0.21667098999023438
 85309.86004975, 101.5282211303711, -0.21667098999023438
 85310.80786308333, 101.52849578857422, -0.24309349060058594
 85311.75116458334, 101.52912902832031, -0.2959403991699219
 85312.69543387501, 101.53302764892578, -0.6183032989501953
 85313.641945375, 101.53446960449219, -0.7398490905761719
 85314.58464183334, 101.53446960449219, -0.7398490905761719
 85315.52964741667, 101.53446960449219, -0.7398490905761719
 85316.4760195, 101.53311157226562, -0.6235866546630859
 85317.42211754168, 101.53252410888672, -0.5760250091552734
 85318.366133, 101.53070831298828, -0.4280548095703125
 85319.30852325, 101.53070831298828, -0.4280548095703125
 85320.25330554167, 101.531005859375, -0.44919395446777344
 85321.19862979167, 101.53121185302734, -0.4703330993652344
 85322.14275233334, 101.53343963623047, -0.6500110626220703
 85323.087566, 101.53343963623047, -0.6500110626220703
 85324.03475262501, 101.53341674804688, -0.6500110626220703
 85324.97879583333, 101.53324890136719, -0.6394405364990234
 85325.92468754167, 101.53167724609375, -0.5073261260986328
 85326.86942854167, 101.52980041503906, -0.348785400390625
 85327.81477975, 101.52951049804688, -0.3276481628417969
 85328.75635362501, 101.5296401977539, -0.33821678161621094
 85329.701049875, 101.52937316894531, -0.31707763671875
 85330.64921233334, 101.52948760986328, -0.32236289978027344
 85331.59143241667, 101.52948760986328, -0.32236289978027344
 85332.535526875, 101.52970123291016, -0.3435020446777344
 85333.48041579167, 101.53042602539062, -0.40163230895996094
 85334.42542454167, 101.53094482421875, -0.4439105987548828
 85335.37024979167, 101.53367614746094, -0.6711483001708984
 85336.31814504167, 101.53422546386719, -0.7187118530273438
 85337.26379420834, 101.53422546386719, -0.7187118530273438
 85338.21143908334, 101.53286743164062, -0.6077327728271484
 85339.15213120834, 101.53266143798828, -0.5865955352783203
 85340.09748258334, 101.53266143798828, -0.5865955352783203
 85341.03986720834, 101.53116607666016, -0.46504783630371094
 85341.98893533334, 101.5311279296875, -0.4597644805908203
 85342.93324325001, 101.53116607666016, -0.46504783630371094
 85343.875474375, 101.5311279296875, -0.4597644805908203
 85344.81982820833, 101.53042602539062, -0.40163230895996094
 85345.76491525001, 101.53042602539062, -0.40163230895996094
 85346.71031791667, 101.53055572509766, -0.412200927734375
 85347.65841004167, 101.53153228759766, -0.49675559997558594
 85348.6016815, 101.53153228759766, -0.49675559997558594
 85349.54521833334, 101.53153228759766, -0.49675559997558594
 85350.492581375, 101.5315933227539, -0.5020408630371094
 85351.43526258334, 101.53242492675781, -0.5654563903808594
 85352.38002541667, 101.53242492675781, -0.5654563903808594
 85353.32883129167, 101.53118133544922, -0.46504783630371094
 85354.27213766667, 101.530517578125, -0.4069175720214844
 85355.21984833333, 101.5285873413086, -0.24837875366210938
 85356.16124654167, 101.52822875976562, -0.221954345703125
 85357.108891875, 101.5285873413086, -0.24837875366210938
 85358.050709125, 101.52938079833984, -0.31707763671875
 85358.99863579168, 101.53038787841797, -0.40163230895996094
 85359.944779125, 101.53097534179688, -0.44919395446777344
 85360.88680845834, 101.53158569335938, -0.49675559997558594
 85361.83146616667, 101.53173065185547, -0.5126094818115234
 85362.776629, 101.5321044921875, -0.5443172454833984
 85363.725143125, 101.5321044921875, -0.5443172454833984
 85364.66850279167, 101.53211212158203, -0.5443172454833984
 85365.613225625, 101.53213500976562, -0.5443172454833984
 85366.55801758335, 101.53213500976562, -0.5443172454833984
 85367.50335970834, 101.53211975097656, -0.5443172454833984
 85368.45211362501, 101.53211975097656, -0.5443172454833984
 85369.39546445834, 101.53176879882812, -0.5126094818115234
 85370.34027941668, 101.53199005126953, -0.5337486267089844
 85371.28529891667, 101.53176879882812, -0.5126094818115234
 85372.231519875, 101.53176879882812, -0.5126094818115234
 85373.1790395, 101.53174591064453, -0.5126094818115234
 85374.12266141667, 101.53075408935547, -0.4280548095703125
 85375.0672545, 101.53075408935547, -0.4280548095703125
 85376.01271362501, 101.53075408935547, -0.4280548095703125
 85376.95806087501, 101.52932739257812, -0.3117942810058594
 85377.90653125, 101.529296875, -0.30650901794433594
 85378.85328975001, 101.52906799316406, -0.29065513610839844
 85379.79726941667, 101.52894592285156, -0.2800865173339844
 85380.74113541667, 101.52894592285156, -0.2800865173339844
 85381.685086125, 101.5285415649414, -0.24837875366210938
 85382.63429883333, 101.52896881103516, -0.2800865173339844
 85383.57856220833, 101.52896881103516, -0.2800865173339844
 85384.52145629167, 101.529052734375, -0.29065513610839844
 85385.46711854167, 101.529052734375, -0.29065513610839844
 85386.41639204168, 101.529052734375, -0.29065513610839844
 85387.35883129167, 101.52959442138672, -0.3329315185546875
 85388.30329691667, 101.5300064086914, -0.36992454528808594
 85389.248063, 101.53068542480469, -0.4227714538574219
 85390.19340354168, 101.53068542480469, -0.4227714538574219
 85391.14217262501, 101.5303955078125, -0.40163230895996094
 85392.08569895834, 101.53012084960938, -0.3752098083496094
 85393.02933283334, 101.49178314208984, 2.8114280700683594
 85393.97473895834, 101.48992919921875, 2.9646825790405273
 85394.92033895834, 101.48883819580078, 3.0545215606689453
 85395.86908529168, 101.48883819580078, 3.0545215606689453
 85396.814381375, 101.49295043945312, 2.7110204696655273
 85397.75746570833, 101.5323257446289, -0.5601711273193359
 85398.70241841667, 101.53267669677734, -0.5918788909912109
 85399.64812133333, 101.53732299804688, -0.9776573181152344
 85400.59672083333, 101.53732299804688, -0.9776573181152344
 85401.53914225001, 101.53732299804688, -0.9776573181152344
 85402.484705375, 101.5514144897461, -2.1455631256103516
 85403.430354625, 101.5514144897461, -2.1455631256103516
 85404.38002204167, 101.55010223388672, -2.0398712158203125
 85405.32335416667, 101.53386688232422, -0.6870021820068359
 85406.26714616668, 101.53250122070312, -0.5760250091552734
 85407.27197758334, 101.52375793457031, 0.15325546264648438
 85408.158332, 101.51351928710938, 1.0040817260742188
 85409.10524995835, 101.51351928710938, 1.0040817260742188
 85410.04979516668, 101.5273208618164, -0.1426849365234375
 85410.99530741667, 101.52779388427734, -0.18496322631835938
