Relative Time Stamp (s),Magnetic North in Device x,Magnetic North in Device y,Magnetic North in Device z
85123.785764, 211.32565307617188, -40.496063232421875, -654.01025390625
 85123.787644375, 211.29737854003906, -40.37568664550781, -653.8526611328125
 85123.78861425, 211.31655883789062, -40.082733154296875, -654.0765380859375
 85123.78948516668, 211.30116271972656, -39.992462158203125, -654.250244140625
 85123.790319875, 211.21475219726562, -39.65892028808594, -654.0947875976562
 85123.79114054167, 211.0401153564453, -39.39933776855469, -654.4266357421875
 85123.79196683333, 210.98385620117188, -39.21937561035156, -654.6468505859375
 85123.792770875, 210.7685546875, -39.12310791015625, -654.8521118164062
 85123.79349162501, 210.27789306640625, -39.27581787109375, -655.1663208007812
 85123.7943235, 210.35708618164062, -39.012542724609375, -655.2628173828125
 85123.79513575, 210.0865936279297, -38.76145935058594, -655.5333251953125
 85123.79595308333, 209.99534606933594, -38.32548522949219, -655.3870239257812
 85123.79691183334, 209.83497619628906, -37.9173583984375, -655.41162109375
 85123.79756033333, 209.79014587402344, -38.42967224121094, -656.1474609375
 85123.81727295835, 209.51943969726562, -37.9136962890625, -656.00537109375
 85123.81788958334, 209.31060791015625, -37.41410827636719, -655.89501953125
 85123.83506229168, 209.16871643066406, -37.77485656738281, -656.2412109375
 85123.83566425, 208.95538330078125, -37.92242431640625, -656.538330078125
 85123.852168125, 209.02285766601562, -37.82612609863281, -656.4705200195312
 85123.85276987501, 208.95516967773438, -37.609100341796875, -656.5780639648438
 85123.86772200001, 209.0233917236328, -37.7100830078125, -656.7530517578125
 85123.86831729168, 209.2285614013672, -37.310638427734375, -656.629638671875
 85123.88466883334, 209.4661102294922, -37.1090087890625, -656.5225219726562
 85123.88525395833, 209.43943786621094, -36.936859130859375, -656.47314453125
 85123.90122279167, 209.66213989257812, -36.08937072753906, -656.02197265625
 85123.90183379168, 210.0259246826172, -35.56953430175781, -655.988525390625
 85123.91620479168, 210.4892578125, -35.74847412109375, -656.3075561523438
 85123.9167865, 210.8167724609375, -35.34532165527344, -655.9827880859375
 85123.93536695834, 211.48245239257812, -35.011871337890625, -656.107421875
 85123.93597329168, 211.74374389648438, -34.12158203125, -655.958984375
 85123.951902375, 211.94583129882812, -33.733367919921875, -655.6304931640625
 85123.95251233334, 212.6982421875, -33.60148620605469, -655.9074096679688
 85123.96974541667, 212.6708221435547, -32.78062438964844, -655.4580078125
 85123.97035070833, 213.12603759765625, -32.79798889160156, -655.659912109375
 85123.98498295834, 213.4042205810547, -32.335113525390625, -655.3046264648438
 85123.98558966667, 213.80177307128906, -32.09764099121094, -655.2479248046875
 85124.00210654167, 214.28941345214844, -32.434600830078125, -655.64306640625
 85124.00270191667, 214.3011932373047, -31.567428588867188, -655.3658447265625
 85124.017523625, 214.31637573242188, -31.093658447265625, -654.8914184570312
 85124.01810104167, 214.6239776611328, -30.784255981445312, -655.243896484375
 85124.03416854168, 214.47523498535156, -30.839859008789062, -655.3260498046875
 85124.03476975001, 214.6764373779297, -30.373916625976562, -655.24755859375
 85124.05073479167, 214.91104125976562, -30.06494140625, -655.3280639648438
 85124.051308875, 215.1058807373047, -30.586517333984375, -655.541748046875
 85124.06752208334, 215.3688201904297, -29.706954956054688, -655.5152587890625
 85124.06810695834, 215.77127075195312, -29.269287109375, -655.73876953125
 85124.08479762501, 216.01145935058594, -29.681396484375, -655.981689453125
 85124.08546229167, 216.3031005859375, -28.670440673828125, -655.7843017578125
 85124.10120808333, 216.9656982421875, -27.941558837890625, -655.7938232421875
 85124.10189129168, 217.49761962890625, -27.1912841796875, -655.7523803710938
 85124.11789841668, 217.8851776123047, -27.203598022460938, -655.7623901367188
 85124.11856454167, 218.5410614013672, -26.509536743164062, -655.533935546875
 85124.13429070835, 218.8126678466797, -25.703109741210938, -655.3329467773438
 85124.13489604167, 219.51602172851562, -25.289337158203125, -655.387939453125
 85124.15125629168, 219.66708374023438, -24.74749755859375, -654.9678344726562
 85124.15187129167, 220.11912536621094, -24.36474609375, -655.3408813476562
 85124.16799316667, 220.3587646484375, -23.706588745117188, -655.087890625
 85124.16864216667, 220.67066955566406, -23.129119873046875, -654.8411254882812
 85124.18461920833, 220.9297637939453, -22.740447998046875, -655.376708984375
 85124.18529533334, 220.93612670898438, -21.803680419921875, -655.0958862304688
 85124.201214625, 221.23110961914062, -21.604263305664062, -655.7167358398438
 85124.20186641667, 222.0072784423828, -21.148605346679688, -655.0294799804688
 85124.21781941668, 222.78884887695312, -21.542327880859375, -653.96142578125
 85124.21847033333, 223.44793701171875, -21.882003784179688, -653.2021484375
 85124.23475741668, 223.79225158691406, -21.2598876953125, -652.3489990234375
 85124.23540529168, 224.65090942382812, -20.95855712890625, -652.11328125
 85124.25137041668, 224.9362030029297, -20.687713623046875, -651.7050170898438
 85124.25201870834, 225.09458923339844, -19.977005004882812, -651.9595336914062
 85124.26790345834, 225.01353454589844, -19.456451416015625, -651.935302734375
 85124.26856220834, 225.11231994628906, -18.509597778320312, -652.1370849609375
 85124.28455491667, 224.90750122070312, -17.58526611328125, -652.5709228515625
 85124.28514045833, 224.89112854003906, -16.795989990234375, -652.8047485351562
 85124.30051433334, 224.7227783203125, -16.528228759765625, -653.5692749023438
 85124.30104733334, 224.46583557128906, -15.71954345703125, -653.7816162109375
 85124.31750050001, 224.3042755126953, -14.584701538085938, -653.65771484375
 85124.3180295, 224.2573699951172, -13.98834228515625, -653.4249267578125
 85124.33422841667, 224.28988647460938, -12.689910888671875, -653.6070556640625
 85124.33480091667, 224.77174377441406, -13.15203857421875, -654.1278076171875
 85124.3508465, 224.22877502441406, -12.296585083007812, -654.4896240234375
 85124.35141295833, 223.6960906982422, -11.406585693359375, -654.9508056640625
 85124.36799495835, 223.0552215576172, -11.25927734375, -655.7086181640625
 85124.36863829168, 222.340576171875, -10.731399536132812, -656.1680908203125
 85124.38474879166, 222.12884521484375, -10.564071655273438, -656.7738037109375
 85124.38540541667, 222.3219451904297, -9.962631225585938, -656.442626953125
 85124.40131441667, 222.19964599609375, -9.05511474609375, -656.05712890625
 85124.401970125, 222.4136199951172, -8.564407348632812, -656.0816040039062
 85124.41778379166, 222.6543426513672, -8.053665161132812, -655.568603515625
 85124.41843054167, 222.8288116455078, -7.764251708984375, -655.4935913085938
 85124.434672375, 223.01025390625, -7.790618896484375, -655.045166015625
 85124.43530979168, 222.9302520751953, -7.7241058349609375, -654.5360107421875
 85124.452529, 222.9852752685547, -7.6953125, -654.3519287109375
 85124.45318925001, 223.11456298828125, -7.29754638671875, -653.9959716796875
 85124.47032541667, 223.14251708984375, -7.3115997314453125, -653.5081787109375
 85124.471246125, 223.31402587890625, -7.3534088134765625, -653.3336791992188
 85124.49005575001, 223.10923767089844, -7.080596923828125, -652.819580078125
