Relative Time Stamp (s),Barometic Pressure (kPa),Estimated Altitude a.s.l. (m)
306155.035230583, 102.213752746582, 0.0
 306156.057882583, 102.215286254883, -0.1268310546875
 306157.080638708, 102.216812133789, -0.253662109375
 306158.103512375, 102.22395324707, -0.845542907714844
 306159.12624025, 102.228065490723, -1.18376159667969
 306160.149152208, 102.228065490723, -1.18376159667969
 306161.133444042, 102.228157043457, -1.18904876708984
 306162.08425625, 102.230293273926, -1.36872863769531
 306163.028244958, 102.234687805176, -1.72808074951172
 306163.974255833, 102.234687805176, -1.72808074951172
 306164.924713, 102.233390808105, -1.62239074707031
 306165.872958625, 102.232086181641, -1.51669311523438
 306166.816188167, 102.229972839355, -1.34230041503906
 306167.764386708, 102.229972839355, -1.34230041503906
 306168.70945825, 102.266807556152, -4.38096618652344
 306169.65671725, 102.267036437988, -4.40210723876953
 306170.605797208, 102.267036437988, -4.40210723876953
 306171.554899125, 102.271583557129, -4.77732086181641
 306172.502304167, 102.271583557129, -4.77732086181641
 306173.447039583, 102.22501373291, -0.930099487304688
 306174.392513583, 102.22501373291, -0.930099487304688
 306175.343084083, 102.22501373291, -0.930099487304688
 306176.290528542, 102.226333618164, -1.04107666015625
 306177.233999583, 102.226333618164, -1.04107666015625
 306178.183239208, 102.227264404297, -1.11505889892578
 306179.128567375, 102.227264404297, -1.11505889892578
 306180.078641583, 102.227813720703, -1.16262054443359
 306181.025084667, 102.227256774902, -1.11505889892578
 306181.971056042, 102.226165771484, -1.02522277832031
 306182.919304667, 102.22518157959, -0.945953369140625
 306183.865705417, 102.22518157959, -0.945953369140625
 306184.816277583, 102.224502563477, -0.887825012207031
 306185.760401, 102.224502563477, -0.887825012207031
 306186.708498667, 102.224502563477, -0.887825012207031
 306187.6565815, 102.227462768555, -1.13091278076172
 306188.602922542, 102.228225708008, -1.19432830810547
 306189.554262792, 102.228225708008, -1.19432830810547
 306190.49806125, 102.228439331055, -1.21546936035156
 306191.4502335, 102.232147216797, -1.52198028564453
 306192.398234208, 102.232147216797, -1.52198028564453
 306193.340991292, 102.227828979492, -1.16262054443359
 306194.290185125, 102.227600097656, -1.14676666259766
 306195.236367833, 102.226264953613, -1.03578948974609
 306196.18709575, 102.225494384766, -0.972373962402344
 306197.135532042, 102.225494384766, -0.972373962402344
 306198.07956025, 102.226631164551, -1.06221771240234
 306199.027883917, 102.226875305176, -1.08335113525391
 306199.975036625, 102.227546691895, -1.14148712158203
 306200.925124958, 102.227546691895, -1.14148712158203
 306201.87406075, 102.227546691895, -1.14148712158203
 306202.821136417, 102.22811126709, -1.18904876708984
 306203.766188333, 102.228462219238, -1.21546936035156
 306204.717608083, 102.229019165039, -1.26303100585938
 306205.661881, 102.229019165039, -1.26303100585938
 306206.613533792, 102.227615356445, -1.14676666259766
 306207.560550292, 102.227615356445, -1.14676666259766
 306208.5056685, 102.22679901123, -1.07807159423828
 306209.454953167, 102.226219177246, -1.03050994873047
 306210.401425625, 102.226219177246, -1.03050994873047
 306211.353131542, 102.227333068848, -1.12034606933594
 306212.299208333, 102.227333068848, -1.12034606933594
 306213.248400708, 102.227897644043, -1.16790771484375
 306214.193148208, 102.22974395752, -1.32115936279297
 306215.140944, 102.231834411621, -1.49555969238281
 306216.090206583, 102.231834411621, -1.49555969238281
 306217.037429708, 102.231101989746, -1.43214416503906
 306217.987280125, 102.231101989746, -1.43214416503906
 306218.932250208, 102.231101989746, -1.43214416503906
 306219.883610292, 102.226829528809, -1.08335113525391
 306220.828116958, 102.226829528809, -1.08335113525391
 306221.779274208, 102.227485656738, -1.13619995117188
 306222.724209875, 102.227485656738, -1.13619995117188
 306223.677054375, 102.227249145508, -1.11505889892578
 306224.620739208, 102.22624206543, -1.03050994873047
 306225.570719417, 102.227195739746, -1.10977935791016
 306226.51838325, 102.22492980957, -0.924812316894531
 306227.464526458, 102.226356506348, -1.04107666015625
 306228.415213333, 102.226356506348, -1.04107666015625
 306229.360500958, 102.22673034668, -1.07278442382812
 306230.314927042, 102.226989746094, -1.09392547607422
 306231.258786958, 102.22770690918, -1.15205383300781
 306232.207081125, 102.237129211426, -1.93418121337891
 306233.153043375, 102.249008178711, -2.91184234619141
 306234.108277333, 102.254280090332, -3.3504638671875
 306235.050089958, 102.261535644531, -3.9476318359375
 306236.000454083, 102.270782470703, -4.71390533447266
 306236.945667417, 102.271690368652, -4.78788757324219
 306237.898835167, 102.273864746094, -4.96756744384766
 306238.8452115, 102.276161193848, -5.15781402587891
 306239.790542833, 102.276161193848, -5.15781402587891
 306240.739587417, 102.273376464844, -4.92528533935547
 306241.687008125, 102.269485473633, -4.60292053222656
 306242.636590542, 102.269485473633, -4.60292053222656
 306243.584415792, 102.273918151855, -4.97284698486328
 306244.531946792, 102.280029296875, -5.47489166259766
 306245.4802035, 102.289352416992, -6.24644470214844
 306246.429689583, 102.289352416992, -6.24644470214844
 306247.378080042, 102.28532409668, -5.91351318359375
 306248.325775042, 102.267562866211, -4.44438171386719
 306249.273095417, 102.263122558594, -4.07974243164062
 306250.224406417, 102.248222351074, -2.84842681884766
 306251.169429208, 102.231758117676, -1.49027252197266
 306252.123144917, 102.220848083496, -0.586601257324219
 306253.066765083, 102.202903747559, 0.898384094238281
 306254.015992167, 102.190231323242, 1.94474792480469
 306254.962522875, 102.17594909668, 3.12322235107422
 306255.916688042, 102.160949707031, 4.3651123046875
 306256.859005083, 102.146041870117, 5.59642791748047
 306257.809754458, 102.134674072266, 6.53709411621094
 306258.755492208, 102.120735168457, 7.69443511962891
 306259.711967458, 102.108680725098, 8.68794250488281
 306260.65440525, 102.09398651123, 9.90341186523438
 306261.604037958, 102.079643249512, 11.092456817627
 306262.548664, 102.066474914551, 12.1810913085938
 306263.501547625, 102.052070617676, 13.3701362609863
 306264.449008583, 102.037666320801, 14.5644645690918
 306265.398127708, 102.027565002441, 15.3994369506836
 306266.342428333, 102.027221679688, 15.4311447143555
 306267.295542042, 102.027221679688, 15.4311447143555
 306268.242924208, 102.027565002441, 15.3994369506836
 306269.1926245, 102.048301696777, 13.6819267272949
 306270.135822917, 102.072418212891, 11.6896209716797
 306271.083994458, 102.095458984375, 9.78186416625977
 306272.036351708, 102.13436126709, 6.56352233886719
 306272.980437958, 102.151008605957, 5.18951416015625
 306273.928845833, 102.167793273926, 3.79965209960938
 306274.877228125, 102.17650604248, 3.08094024658203
 306275.829517583, 102.184799194336, 2.39393615722656
 306276.77403, 102.184799194336, 2.39393615722656
 306277.722154, 102.175476074219, 3.16549682617188
 306278.670329542, 102.175476074219, 3.16549682617188
 306279.61999225, 102.183410644531, 2.51020050048828
 306280.567914958, 102.187515258789, 2.16670227050781
 306281.5165985, 102.187515258789, 2.16670227050781
 306282.463574375, 102.201728820801, 0.993507385253906
 306283.413004, 102.227577209473, -1.14148712158203
 306284.360574083, 102.227577209473, -1.14148712158203
 306285.309798125, 102.224761962891, -0.908958435058594
 306286.257509667, 102.197296142578, 1.35814666748047
 306287.211637042, 102.197296142578, 1.35814666748047
 306288.154848125, 102.203659057617, 0.834968566894531
 306289.105151875, 102.224266052246, -0.866683959960938
 306290.051673458, 102.224266052246, -0.866683959960938
 306291.005293417, 102.242309570312, -2.35694885253906
 306291.948405792, 102.242309570312, -2.35694885253906
 306292.899201667, 102.231788635254, -1.49027252197266
 306293.845262208, 102.220222473145, -0.53375244140625
 306294.798667917, 102.202217102051, 0.956520080566406
 306295.742393125, 102.191108703613, 1.87075805664062
 306296.690736, 102.191108703613, 1.87075805664062
 306297.638948333, 102.214828491211, -0.08984375
 306298.588890625, 102.227325439453, -1.12034606933594
 306299.535813625, 102.232719421387, -1.56954193115234
 306300.484358292, 102.232719421387, -1.56954193115234
 306301.432946333, 102.222106933594, -0.692291259765625
 306302.381432125, 102.191841125488, 1.81262969970703
 306303.329930875, 102.191787719727, 1.81790924072266
 306304.27819925, 102.190650939941, 1.91303253173828
 306305.225873833, 102.190650939941, 1.91303253173828
 306306.174959667, 102.20231628418, 0.945945739746094
 306307.124504417, 102.204948425293, 0.729278564453125
 306308.072338875, 102.205642700195, 0.671142578125
 306309.01942225, 102.207000732422, 0.560165405273438
 306309.968612958, 102.221794128418, -0.665870666503906
 306310.920024208, 102.22282409668, -0.750419616699219
 306311.867432708, 102.226379394531, -1.04636383056641
 306312.813234708, 102.228057861328, -1.18376159667969
 306313.761626333, 102.23420715332, -1.69108581542969
 306314.710245, 102.23420715332, -1.69108581542969
 306315.663483292, 102.233833312988, -1.65937805175781
 306316.607095625, 102.23363494873, -1.64352416992188
 306317.555891958, 102.23225402832, -1.52726745605469
 306318.506014458, 102.225936889648, -1.00936889648438
 306319.452704458, 102.225936889648, -1.00936889648438
 306320.400572125, 102.23250579834, -1.54840087890625
 306321.35088975, 102.235458374023, -1.79149627685547
 306322.299583708, 102.23705291748, -1.92361450195312
 306323.247041708, 102.23705291748, -1.92361450195312
 306324.194088333, 102.234550476074, -1.71751403808594
 306325.143502, 102.228317260742, -1.20490264892578
 306326.090508208, 102.226013183594, -1.01465606689453
 306327.040098333, 102.224075317383, -0.850830078125
 306327.987233708, 102.224075317383, -0.850830078125
 306328.93903, 102.226097106934, -1.01993560791016
 306329.884556958, 102.227386474609, -1.12563323974609
 306330.833750208, 102.227485656738, -1.13619995117188
 306331.780869333, 102.227783203125, -1.15734100341797
 306332.730981625, 102.228721618652, -1.23661041259766
 306333.677751833, 102.229270935059, -1.28417205810547
 306334.627660875, 102.229270935059, -1.28417205810547
 306335.575638208, 102.229995727539, -1.34230041503906
 306336.524290833, 102.232521057129, -1.54840087890625
 306337.471971917, 102.232521057129, -1.54840087890625
 306338.422283125, 102.231307983398, -1.447998046875
 306339.36924775, 102.230445861816, -1.37929534912109
 306340.322750458, 102.230239868164, -1.36344146728516
 306341.266718417, 102.230445861816, -1.37929534912109
 306342.215527208, 102.230865478516, -1.41629028320312
 306343.164352792, 102.231719970703, -1.4849853515625
 306344.114759, 102.233283996582, -1.61181640625
 306345.065303667, 102.233283996582, -1.61181640625
 306346.010713667, 102.233283996582, -1.61181640625
 306346.967496792, 102.232604980469, -1.55897521972656
 306347.9085005, 102.232604980469, -1.55897521972656
 306348.8596765, 102.228340148926, -1.20490264892578
 306349.806933333, 102.22826385498, -1.19961547851562
 306350.755721, 102.225944519043, -1.00936889648438
 306351.7035055, 102.224060058594, -0.850830078125
 306352.656440917, 102.224060058594, -0.850830078125
 306353.600871583, 102.228057861328, -1.18376159667969
 306354.550850333, 102.228271484375, -1.19961547851562
 306355.498378625, 102.228729248047, -1.23661041259766
 306356.447728458, 102.22908782959, -1.26831817626953
 306357.400866708, 102.229095458984, -1.26831817626953
 306358.348560375, 102.229782104492, -1.32644653320312
 306359.297904792, 102.230010986328, -1.34230041503906
 306360.242954625, 102.230331420898, -1.36872863769531
 306361.19353025, 102.230331420898, -1.36872863769531
 306362.141763417, 102.23014831543, -1.35286712646484
 306363.091506708, 102.230140686035, -1.35286712646484
 306364.038476375, 102.230140686035, -1.35286712646484
 306364.988458542, 102.229995727539, -1.34230041503906
 306365.936024833, 102.229995727539, -1.34230041503906
 306366.884760125, 102.230285644531, -1.36872863769531
 306367.833552875, 102.23030090332, -1.36872863769531
 306368.784322125, 102.230400085449, -1.37400817871094
 306369.734587042, 102.230621337891, -1.39514923095703
 306370.679744833, 102.230621337891, -1.39514923095703
 306371.632523417, 102.230690002441, -1.40043640136719
 306372.579803542, 102.230606079102, -1.39514923095703
 306373.528066667, 102.230476379395, -1.38458251953125
 306374.474954667, 102.23021697998, -1.358154296875
 306375.425409458, 102.229949951172, -1.33701324462891
 306376.373488708, 102.229949951172, -1.33701324462891
 306377.321707083, 102.230293273926, -1.36872863769531
 306378.270877167, 102.230293273926, -1.36872863769531
 306379.221650167, 102.230293273926, -1.36872863769531
 306380.167982375, 102.230224609375, -1.36344146728516
 306381.116737417, 102.229835510254, -1.33173370361328
 306382.069033917, 102.22966003418, -1.31587982177734
 306383.017170333, 102.22966003418, -1.31587982177734
 306383.965895458, 102.23063659668, -1.39514923095703
 306384.911642458, 102.23063659668, -1.39514923095703
 306385.864400292, 102.232200622559, -1.52726745605469
 306386.811541833, 102.233200073242, -1.60653686523438
 306387.759415208, 102.233200073242, -1.60653686523438
 306388.707052583, 102.230033874512, -1.34758758544922
 306389.661109792, 102.20491027832, 0.729278564453125
 306390.604748708, 102.204643249512, 0.755699157714844
 306391.553614042, 102.204208374023, 0.787406921386719
 306392.502761375, 102.203536987305, 0.845542907714844
 306393.452943083, 102.203536987305, 0.845542907714844
 306394.403260792, 102.227760314941, -1.15734100341797
 306395.3492915, 102.227760314941, -1.15734100341797
 306396.301350958, 102.227760314941, -1.15734100341797
 306397.2469795, 102.228843688965, -1.24717712402344
 306398.20205725, 102.229804992676, -1.32644653320312
 306399.145856583, 102.230224609375, -1.36344146728516
 306400.093805667, 102.230651855469, -1.39514923095703
 306401.046023167, 102.230651855469, -1.39514923095703
 306401.99148275, 102.230491638184, -1.38458251953125
 306402.944064167, 102.230049133301, -1.34758758544922
 306403.890321625, 102.230049133301, -1.34758758544922
 306404.840900625, 102.229888916016, -1.33173370361328
 306405.787193375, 102.23072052002, -1.40043640136719
 306406.74123725, 102.231437683105, -1.45856475830078
 306407.68764825, 102.231437683105, -1.45856475830078
 306408.635254292, 102.22834777832, -1.20490264892578
