Relative Time Stamp (s),Magnetic North in Device x,Magnetic North in Device y,Magnetic North in Device z
306154.059517333, 11.4457702636719, 129.608139038086, -628.804626464844
 306154.060152708, 10.8242797851562, 129.502319335938, -628.804565429688
 306154.067129083, 10.1541290283203, 129.772598266602, -628.6533203125
 306154.072044167, 9.6683349609375, 129.445465087891, -628.959899902344
 306154.07774925, 8.996826171875, 129.714767456055, -629.040222167969
 306154.079815417, 8.04490661621094, 129.290283203125, -629.115112304688
 306154.081730417, 6.95362854003906, 129.084518432617, -629.500671386719
 306154.083227167, 6.56266784667969, 128.989608764648, -629.577575683594
 306154.100041167, 5.68135070800781, 128.492370605469, -629.806030273438
 306154.103520167, 4.98788452148438, 128.458312988281, -629.8837890625
 306154.116479333, 4.1138916015625, 128.038208007812, -629.804260253906
 306154.118316417, 3.34251403808594, 127.999771118164, -630.036437988281
 306154.138148875, 2.47856140136719, 127.730712890625, -630.112487792969
 306154.140755917, 1.34550476074219, 127.977844238281, -630.116088867188
 306154.159912625, 0.530670166015625, 127.333038330078, -630.266052246094
 306154.161591667, -0.261306762695312, 126.9921875, -630.264221191406
 306154.173300125, -1.10832214355469, 126.950973510742, -630.265014648438
 306154.174780875, -0.76904296875, 126.361694335938, -630.568237304688
 306154.186834667, -0.979751586914062, 125.594497680664, -630.870727539062
 306154.187702208, -0.80499267578125, 124.846389770508, -631.095764160156
 306154.206599167, -0.272857666015625, 124.795822143555, -631.326110839844
 306154.20749725, 0.55816650390625, 124.60986328125, -631.246276855469
 306154.222919375, 1.48036193847656, 124.653533935547, -631.554077148438
 306154.2239585, 2.65824890136719, 125.013748168945, -631.401306152344
 306154.238962542, 4.05525207519531, 125.232894897461, -631.401306152344
 306154.240028292, 6.24191284179688, 125.719284057617, -630.8623046875
 306154.258643583, 7.504150390625, 126.160385131836, -630.401306152344
 306154.25985875, 8.92582702636719, 126.684829711914, -629.940856933594
 306154.278613875, 10.4295501708984, 127.288528442383, -629.55810546875
 306154.279971583, 11.2948760986328, 127.558578491211, -629.25048828125
 306154.298462208, 11.8750610351562, 128.117614746094, -628.791442871094
 306154.300069708, 12.1526947021484, 128.737487792969, -628.333251953125
 306154.318543208, 11.9283752441406, 129.861068725586, -628.111511230469
 306154.3201, 11.849365234375, 130.842071533203, -627.502563476562
 306154.338548, 11.2601470947266, 132.176971435547, -626.665649414062
 306154.340092875, 10.8203887939453, 133.444213867188, -625.673706054688
 306154.360375417, 10.3458557128906, 134.255081176758, -624.986633300781
 306154.361985625, 10.1903228759766, 135.232635498047, -624.300476074219
 306154.377991917, 9.44757080078125, 136.560409545898, -623.386596679688
 306154.379594167, 8.78472900390625, 136.907806396484, -622.927368164062
 306154.3979195, 8.08331298828125, 137.782318115234, -622.47265625
 306154.399508458, 7.799072265625, 138.071960449219, -622.166748046875
 306154.417927875, 7.44015502929688, 138.359497070312, -621.47509765625
 306154.419507583, 7.33872985839844, 139.036819458008, -620.940734863281
