Relative Time Stamp (s),Barometic Pressure (kPa),Estimated Altitude a.s.l. (m)
312839.62857275, 102.154739379883, 0.0
 312840.655346917, 102.156539916992, -0.147964477539062
 312841.678265125, 102.158340454102, -0.295936584472656
 312842.705748375, 102.159660339355, -0.406913757324219
 312843.728587625, 102.167266845703, -1.03578948974609
 312844.752416875, 102.167266845703, -1.03578948974609
 312845.7396685, 102.167793273926, -1.07806396484375
 312846.687746042, 102.167793273926, -1.07806396484375
 312847.641732958, 102.167793273926, -1.07806396484375
 312848.585531833, 102.167694091797, -1.06749725341797
 312849.535201292, 102.167694091797, -1.06749725341797
 312850.489506792, 102.169143676758, -1.18904113769531
 312851.434558, 102.170684814453, -1.31587219238281
 312852.383541375, 102.170684814453, -1.31587219238281
 312853.331748417, 102.168655395508, -1.15204620361328
 312854.280047625, 102.168563842773, -1.1414794921875
 312855.227443708, 102.167289733887, -1.03578948974609
 312856.180222417, 102.166259765625, -0.95123291015625
 312857.12561125, 102.167289733887, -1.03578948974609
 312858.074314083, 102.168258666992, -1.11505889892578
 312859.025891417, 102.16854095459, -1.1414794921875
 312859.971858417, 102.168701171875, -1.15204620361328
 312860.924422125, 102.16870880127, -1.15204620361328
 312861.869444292, 102.168907165527, -1.16790008544922
 312862.822338917, 102.168983459473, -1.17847442626953
 312863.767103625, 102.16919708252, -1.19432830810547
 312864.717583625, 102.16919708252, -1.19432830810547
 312865.664823875, 102.167945861816, -1.08863067626953
 312866.614366792, 102.167663574219, -1.06749725341797
 312867.56243275, 102.167572021484, -1.06221008300781
 312868.516517333, 102.167121887207, -1.02521514892578
 312869.45997775, 102.167121887207, -1.02521514892578
 312870.409223875, 102.169189453125, -1.19432830810547
 312871.361455583, 102.16926574707, -1.19960784912109
 312872.307457708, 102.16926574707, -1.19960784912109
 312873.259211792, 102.16919708252, -1.19432830810547
 312874.206041042, 102.16919708252, -1.19432830810547
 312875.159297417, 102.168869018555, -1.16790008544922
 312876.103995375, 102.168807983398, -1.16262054443359
 312877.053115167, 102.168441772461, -1.13091278076172
 312878.006591833, 102.166778564453, -0.993507385253906
 312878.951742, 102.166076660156, -0.935379028320312
 312879.902376583, 102.163932800293, -0.755699157714844
 312880.850552667, 102.163589477539, -0.729278564453125
 312881.799768708, 102.163589477539, -0.729278564453125
 312882.752861375, 102.164916992188, -0.840255737304688
 312883.701615333, 102.165901184082, -0.919525146484375
 312884.649611417, 102.166374206543, -0.961799621582031
 312885.598596583, 102.166374206543, -0.961799621582031
 312886.548657875, 102.166374206543, -0.961799621582031
 312887.501106708, 102.166473388672, -0.967086791992188
 312888.446661792, 102.167327880859, -1.04106903076172
 312889.396909625, 102.174415588379, -1.62766265869141
 312890.344310417, 102.174415588379, -1.62766265869141
 312891.298531917, 102.172576904297, -1.47441101074219
 312892.243026542, 102.170509338379, -1.30001831054688
 312893.192426708, 102.168663024902, -1.15204620361328
 312894.146302625, 102.162803649902, -0.665863037109375
 312895.090991708, 102.162803649902, -0.665863037109375
 312896.042271083, 102.164642333984, -0.819114685058594
 312896.989778208, 102.166221618652, -0.945945739746094
 312897.939174708, 102.166221618652, -0.945945739746094
 312898.892602958, 102.166221618652, -0.945945739746094
 312899.839861208, 102.167327880859, -1.04106903076172
 312900.789404167, 102.167572021484, -1.06221008300781
 312901.736303167, 102.168113708496, -1.10448455810547
 312902.6873975, 102.167739868164, -1.07277679443359
 312903.638379167, 102.167739868164, -1.07277679443359
 312904.586691958, 102.166557312012, -0.977653503417969
 312905.53529975, 102.165863037109, -0.919525146484375
 312906.483247125, 102.164276123047, -0.787406921386719
 312907.437736458, 102.164276123047, -0.787406921386719
 312908.385520375, 102.164436340332, -0.797981262207031
 312909.331740125, 102.164535522461, -0.808547973632812
 312910.283866, 102.165916442871, -0.924812316894531
 312911.230267083, 102.165916442871, -0.924812316894531
 312912.18036, 102.167114257812, -1.01993560791016
 312913.133934583, 102.167114257812, -1.01993560791016
 312914.078424875, 102.167114257812, -1.01993560791016
 312915.029849208, 102.165809631348, -0.914237976074219
 312915.977977833, 102.163635253906, -0.73455810546875
 312916.927450833, 102.163635253906, -0.73455810546875
 312917.876552042, 102.163635253906, -0.73455810546875
 312918.825344792, 102.164337158203, -0.792694091796875
 312919.777956125, 102.16495513916, -0.845542907714844
 312920.724455958, 102.166091918945, -0.935379028320312
 312921.673879042, 102.16773223877, -1.07277679443359
 312922.623414583, 102.168609619141, -1.14676666259766
 312923.572765625, 102.168609619141, -1.14676666259766
 312924.525941458, 102.167411804199, -1.04635620117188
 312925.472888958, 102.166015625, -0.930091857910156
 312926.42120925, 102.165534973145, -0.893104553222656
 312927.375903833, 102.163772583008, -0.745132446289062
 312928.320214333, 102.163772583008, -0.745132446289062
 312929.275540375, 102.165176391602, -0.861396789550781
 312930.219328542, 102.168411254883, -1.13091278076172
 312931.170865208, 102.235763549805, -6.69563293457031
 312932.121360042, 102.235763549805, -6.69563293457031
 312933.071462667, 102.224128723145, -5.73383331298828
 312934.019101792, 102.224128723145, -5.73383331298828
 312934.967586458, 102.224128723145, -5.73383331298828
 312935.917698708, 102.163627624512, -0.73455810546875
 312936.869379417, 102.163627624512, -0.73455810546875
 312937.817782333, 102.184844970703, -2.48905944824219
 312938.765500708, 102.184844970703, -2.48905944824219
 312939.715061333, 102.178192138672, -1.93946075439453
 312940.667059708, 102.178192138672, -1.93946075439453
 312941.615755375, 102.188003540039, -2.74800872802734
 312942.563817417, 102.188781738281, -2.81142425537109
 312943.51421425, 102.19637298584, -3.44029998779297
 312944.467428875, 102.242523193359, -7.25580596923828
 312945.414753792, 102.278564453125, -10.2310562133789
 312946.36321775, 102.278564453125, -10.2310562133789
 312947.311653792, 102.232139587402, -6.3944091796875
 312948.265103083, 102.206558227539, -4.28055572509766
 312949.215354708, 102.176025390625, -1.75978088378906
 312950.160397458, 102.151954650879, 0.232528686523438
 312951.111555875, 102.151954650879, 0.232528686523438
 312952.059572875, 102.195983886719, -3.40859222412109
 312953.012648958, 102.218719482422, -5.28992462158203
 312953.960718292, 102.224479675293, -5.76554107666016
 312954.908440542, 102.235237121582, -6.65335845947266
 312955.862677292, 102.232887268066, -6.45782470703125
 312956.812312583, 102.235237121582, -6.65335845947266
 312957.757381708, 102.232887268066, -6.45782470703125
 312958.707814542, 102.225204467773, -5.82366943359375
 312959.656718583, 102.224250793457, -5.74440002441406
 312960.6103685, 102.220672607422, -5.44846343994141
 312961.558140625, 102.21842956543, -5.26349639892578
 312962.505856792, 102.220413208008, -5.42732238769531
 312963.460490333, 102.220413208008, -5.42732238769531
 312964.408452958, 102.233116149902, -6.47896575927734
 312965.355153542, 102.233116149902, -6.47896575927734
 312966.305386708, 102.233116149902, -6.47896575927734
