Relative Time Stamp (s),Latitude,Longitude,Altitude,Horizontal Accuracy,Vertical Accuracy
312838.621053667, 51.4026829926776, -0.511746536940813, 22.4925965856967, 10.0, 4.0
 312838.623869042, 51.4026799332829, -0.511754248291731, 22.2375902147759, 10.0, 4.0
 312839.553557208, 51.4026778378071, -0.511760283262014, 22.6284528098305, 10.0, 4.0
 312840.549474542, 51.4026736887651, -0.511763636023283, 22.308069129259, 10.0, 4.0
 312841.5589585, 51.4026736887651, -0.511763636023283, 22.5978877912202, 10.0, 4.0
 312842.556300042, 51.4026736887651, -0.511763636023283, 20.7802485483117, 10.0, 4.0
 312843.550648292, 51.4026712580131, -0.51177377812612, 22.5693303450635, 10.0, 4.0
 312844.543640083, 51.4026712580131, -0.51177377812612, 20.8909977903288, 10.0, 4.0
 312845.545306042, 51.4026712580131, -0.51177377812612, 22.1268553108816, 10.0, 4.0
 312846.545928667, 51.4026712580131, -0.51177377812612, 22.021324877271, 10.0, 4.0
 312847.540163125, 51.4026712580131, -0.51177377812612, 21.8917944929976, 30.0, 4.0
 312848.530906333, 51.4026712580131, -0.51177377812612, 21.3458594298741, 30.0, 4.0
 312849.533131292, 51.4026712580131, -0.51177377812612, 20.8495246020739, 30.0, 4.0
 312850.5363705, 51.4026712580131, -0.51177377812612, 15.5965843200684, 30.0, 4.0
 312851.541252833, 51.4026712580131, -0.51177377812612, 15.5254173278809, 30.0, 4.0
 312852.544956792, 51.4026712580131, -0.51177377812612, 15.4505271911621, 30.0, 4.0
 312853.539548667, 51.4026712580131, -0.51177377812612, 15.3796043395996, 30.0, 4.0
 312854.543713458, 51.4026712580131, -0.51177377812612, 15.4767723083496, 30.0, 4.0
 312855.541557958, 51.4026712580131, -0.51177377812612, 15.4717063903809, 30.0, 4.0
 312856.539447833, 51.4026712580131, -0.51177377812612, 15.4695091247559, 30.0, 4.0
 312857.541963792, 51.4026712580131, -0.51177377812612, 15.4695091247559, 30.0, 4.0
 312866.528065125, 51.4026764128836, -0.511778220534801, 20.9871482849121, 30.0, 12.0
 312867.541941208, 51.4026764128836, -0.511778220534801, 15.4655418395996, 30.0, 4.0
 312868.534573125, 51.4026764128836, -0.511778220534801, 15.4655418395996, 30.0, 4.0
 312869.529935625, 51.4026764128836, -0.511778220534801, 15.4655418395996, 30.0, 4.0
 312890.916732958, 51.4028155074423, -0.512205198148624, 15.4654655456543, 65.0, 14.0683164596558
