Relative Time Stamp (s),Magnetic North in Device x,Magnetic North in Device y,Magnetic North in Device z
312838.62359675, -8.44529724121094, 97.7728729248047, -617.835021972656
 312838.624238917, -9.28849792480469, 96.7482299804688, -618.13623046875
 312838.630687042, -9.69773864746094, 96.4245147705078, -618.519897460938
 312838.633032458, -9.88465881347656, 95.9619903564453, -618.516235351562
 312838.635719667, -10.0005187988281, 95.4270324707031, -618.588989257812
 312838.637756167, -10.3368988037109, 95.0321960449219, -618.740478515625
 312838.652014292, -10.7424774169922, 94.7110748291016, -618.5068359375
 312838.654104583, -11.2378692626953, 94.2332305908203, -618.58056640625
 312838.668996875, -11.4019317626953, 94.07470703125, -618.425109863281
 312838.670450083, -11.3857574462891, 93.2439117431641, -618.495239257812
 312838.685575125, -11.7693939208984, 93.2261352539062, -618.264038085938
 312838.68795175, -11.8050689697266, 92.7691497802734, -618.723266601562
 312838.702207292, -12.0570678710938, 92.4552154541016, -618.566650390625
 312838.717054708, -12.3595886230469, 92.5160675048828, -618.567504882812
 312838.719299333, -12.3760528564453, 92.2885437011719, -618.565612792969
 312838.736945625, -12.5460815429688, 92.0538482666016, -618.486755371094
 312838.738604708, -12.7055816650391, 91.9705047607422, -618.486267089844
 312838.752234708, -12.7830200195312, 91.9664459228516, -618.5634765625
 312838.753334583, -12.8929443359375, 91.5076599121094, -618.559753417969
 312838.769007042, -12.8984222412109, 91.4318237304688, -618.55908203125
 312838.770075917, -13.041015625, 91.5763244628906, -618.4833984375
 312838.786789958, -13.0789642333984, 91.0457763671875, -618.401733398438
 312838.788482042, -13.3150024414062, 90.9590148925781, -618.324157714844
 312838.802584417, -13.3323822021484, 90.7308502197266, -618.476623535156
 312838.804013125, -13.4964447021484, 90.5723419189453, -618.321166992188
 312838.818924167, -13.2544708251953, 90.7352294921875, -618.322204589844
 312838.820053417, -13.5151977539062, 90.3432006835938, -618.705078125
 312838.835707917, -13.5688629150391, 90.6437835693359, -618.476196289062
 312838.836812, -13.4217376708984, 90.574462890625, -618.706909179688
 312838.8532405, -13.3255157470703, 90.8076477050781, -618.245727539062
 312838.854887167, -13.3282623291016, 90.8057098388672, -618.708740234375
 312838.869929917, -13.3760070800781, 91.1824493408203, -618.4033203125
 312838.871027292, -13.4488830566406, 91.2536010742188, -618.635498046875
 312838.889688167, -13.5235900878906, 91.2514495849609, -618.249694824219
 312838.89126825, -13.7518768310547, 91.3141021728516, -618.713623046875
 312838.909364167, -13.9095153808594, 91.2320709228516, -618.404418945312
 312838.911205125, -13.9026489257812, 91.3088836669922, -618.173522949219
 312838.928888167, -14.1231689453125, 91.448974609375, -618.252197265625
 312838.930571292, -14.2156982421875, 91.2183685302734, -618.096008300781
 312838.948870167, -14.2276000976562, 91.0660247802734, -618.249084472656
 312838.951264792, -14.3472900390625, 91.5145416259766, -618.021545410156
 312838.968197833, -14.652099609375, 91.5018157958984, -617.481567382812
 312838.970087083, -14.7034759521484, 91.8759613037109, -617.79345703125
 312838.9885775, -15.0114898681641, 91.8609619140625, -617.793762207031
 312838.990457625, -15.4776306152344, 91.7636260986328, -617.562072753906
 312839.007761167, -15.5340270996094, 92.062255859375, -617.796142578125
 312839.009646, -15.7641448974609, 92.0516662597656, -617.64208984375
 312839.027685333, -16.3559112548828, 92.3266448974609, -617.25927734375
 312839.030086125, -16.6483612060547, 92.5385284423828, -617.415771484375
 312839.046910292, -16.6791839599609, 93.1431121826172, -617.035034179688
 312839.048429667, -17.36669921875, 93.1852111816406, -617.036315917969
 312839.067489667, -17.2081298828125, 93.2678985595703, -617.191162109375
 312839.069663583, -17.5807952880859, 93.4018249511719, -616.961303710938
 312839.087789292, -17.7788848876953, 93.8455963134766, -616.96533203125
 312839.089679042, -17.9924926757812, 94.0625152587891, -616.813049316406
 312839.106083167, -18.6622009277344, 94.3330993652344, -616.584716796875
 312839.107956708, -18.5146026611328, 94.2640991210938, -616.73828125
 312839.127075125, -18.8216857910156, 94.2497711181641, -616.584228515625
 312839.129571792, -18.8840484619141, 94.4002838134766, -615.968139648438
 312839.145562667, -19.3122253417969, 94.8334808349609, -615.818115234375
 312839.147206792, -19.4776458740234, 94.6739654541016, -615.89404296875
 312839.167019083, -19.8612976074219, 94.6561889648438, -615.662963867188
 312839.169410833, -20.1619720458984, 94.7183532714844, -615.355163574219
 312839.186370917, -20.4965057373047, 94.3247985839844, -615.197937011719
 312839.188073208, -20.5716705322266, 94.3223571777344, -614.889343261719
 312839.205389625, -20.8447570800781, 93.7056884765625, -614.575805664062
 312839.206936167, -21.0298461914062, 93.2444458007812, -614.263488769531
 312839.225178083, -21.26220703125, 93.1602935791016, -613.568481445312
 312839.22674575, -21.7103271484375, 92.2333831787109, -613.098205566406
 312839.244838958, -21.6776733398438, 91.5581359863281, -612.243591308594
 312839.24648775, -21.8081665039062, 90.7969665527344, -612.005737304688
 312839.26625175, -21.6183319091797, 90.2034454345703, -611.537536621094
 312839.268765792, -21.6603851318359, 89.5980224609375, -611.223754882812
 312839.284555292, -21.2468719482422, 88.9385986328125, -611.063293457031
 312839.286157625, -20.9868469238281, 88.2720336914062, -610.825805664062
 312839.304587375, -20.9185485839844, 88.1257019042969, -610.438598632812
 312839.306146333, -21.0666046142578, 88.1943664550781, -610.362243652344
 312839.32533425, -20.7062835693359, 87.8358459472656, -609.895690917969
 312839.327345875, -20.8493347167969, 87.9800415039062, -609.897094726562
 312839.344105083, -21.0569763183594, 88.2731170654297, -609.668273925781
 312839.346305667, -21.04052734375, 88.5006256103516, -609.670166015625
 312839.3656025, -21.5016326904297, 88.4787750244141, -609.516296386719
 312839.367945042, -21.8197021484375, 88.3127746582031, -609.360961914062
 312839.383855375, -21.7147979736328, 88.6960296630859, -609.286865234375
 312839.385449708, -21.9997711181641, 87.9270324707031, -609.126403808594
 312839.405430625, -21.9725952148438, 87.2479248046875, -609.197875976562
 312839.407320958, -22.2548370361328, 86.4808654785156, -608.574340820312
 312839.425681708, -22.7372436523438, 85.0260162353516, -607.405090332031
 312839.427615458, -23.6389312744141, 83.0244903564453, -605.537231445312
 312839.443625542, -24.4434967041016, 81.2567749023438, -603.053833007812
 312839.445185583, -25.2453460693359, 79.4910278320312, -600.107421875
 312839.459585708, -25.8207550048828, 77.6613159179688, -597.005798339844
 312839.461122917, -26.097900390625, 76.8258514404297, -594.606750488281
 312839.479087542, -26.3003540039062, 75.9925231933594, -592.593505859375
 312839.481115792, -26.3856048583984, 75.7670593261719, -591.202575683594
 312839.49884825, -26.4185180664062, 75.2400665283203, -590.272094726562
 312839.500434125, -26.2933197021484, 74.7954254150391, -589.573608398438
 312839.518597708, -26.2346038818359, 74.4984130859375, -588.953674316406
 312839.520895083, -25.9512939453125, 74.1361389160156, -588.487182617188
 312839.538170292, -25.8352355957031, 73.6130828857422, -588.405395507812
 312839.540495833, -25.3942718505859, 73.3328399658203, -588.248168945312
 312839.557807333, -25.0990600585938, 73.1229248046875, -587.628601074219
 312839.559428333, -24.8226013183594, 72.683837890625, -587.393005371094
 312839.577486417, -24.7629547119141, 72.4594268798828, -587.54541015625
 312839.579122208, -25.1107788085938, 71.9126129150391, -587.772766113281
 312839.597151167, -25.2716217041016, 71.8282928466797, -588.003784179688
 312839.599270625, -25.5709533691406, 71.96337890625, -588.391174316406
 312839.616735875, -25.9262390136719, 72.3973999023438, -588.935546875
 312839.619099167, -26.4047088623047, 72.2193603515625, -589.860717773438
 312839.636377833, -26.9955902099609, 72.6389312744141, -591.177001953125
 312839.63798975, -27.2935485839844, 72.846923828125, -592.259521484375
 312839.655977, -27.5199737548828, 72.9828643798828, -593.341369628906
 312839.657048625, -27.7281341552734, 73.4195404052734, -595.043212890625
 312839.675714042, -27.7194519042969, 73.6415863037109, -596.356994628906
 312839.677294333, -27.7153472900391, 73.7884063720703, -597.515869140625
 312839.695247333, -27.2716217041016, 73.654052734375, -598.748840332031
 312839.697112292, -26.5978393554688, 73.5302886962891, -600.136047363281
 312839.714959, -26.3846740722656, 73.3850250244141, -601.292175292969
 312839.717161875, -26.1692352294922, 73.2413635253906, -602.062377929688
 312839.734614333, -26.5030212402344, 73.9784240722656, -602.686401367188
 312839.736260792, -26.7881774902344, 74.3394012451172, -603.461547851562
 312839.754297708, -27.5229797363281, 74.8305511474609, -604.006958007812
 312839.755861417, -27.9310150146484, 75.5657958984375, -604.16796875
 312839.773946333, -29.1132049560547, 76.1887054443359, -604.09765625
 312839.775851958, -29.6898956298828, 76.6902313232422, -603.9482421875
 312839.793588208, -30.7758483886719, 77.5463409423828, -603.416687011719
 312839.795252458, -31.4185791015625, 78.1957855224609, -603.268737792969
 312839.813212875, -32.1814422607422, 79.2934417724609, -602.970336914062
 312839.815163167, -32.7220153808594, 80.3242340087891, -603.211181640625
 312839.832885958, -33.0356750488281, 81.2913970947266, -603.219787597656
 312839.834238875, -33.5588684082031, 82.5503540039062, -603.308288574219
 312839.852535917, -33.9481506347656, 83.5147552490234, -603.085388183594
 312839.854095875, -34.2179260253906, 85.088623046875, -603.099060058594
 312839.872160375, -34.2066802978516, 86.2986297607422, -603.032104492188
 312839.873725417, -34.2774505615234, 87.4293365478516, -602.887329101562
