Relative Time Stamp (s),Barometic Pressure (kPa),Estimated Altitude a.s.l. (m)
108641.35612787501, 101.40213775634766, 0.0
 108642.37407987501, 101.40409851074219, -0.16382408142089844
 108643.39147191668, 101.40605926513672, -0.32236289978027344
 108644.41389625, 101.41024780273438, -0.6711492538452148
 108645.43191795834, 101.41024780273438, -0.6711492538452148
 108646.45642695834, 101.41024780273438, -0.6711492538452148
 108647.433385875, 101.41169738769531, -0.7926959991455078
 108648.38143391667, 101.4133529663086, -0.9300966262817383
 108649.32549283333, 101.41344451904297, -0.9406657218933105
 108650.27185454167, 101.41416931152344, -0.9987969398498535
 108651.21592983334, 101.41451263427734, -1.0305047035217285
 108652.15633233334, 101.41451263427734, -1.0305047035217285
 108653.10099808333, 101.41333770751953, -0.9300966262817383
 108654.04554291668, 101.41246795654297, -0.8561115264892578
 108654.99009458334, 101.41187286376953, -0.8085498809814453
 108655.93923016667, 101.41187286376953, -0.8085498809814453
 108656.88109295834, 101.4119873046875, -0.8191194534301758
 108657.82560475, 101.4119873046875, -0.8191194534301758
 108658.77424166667, 101.4117660522461, -0.797980785369873
 108659.71528662501, 101.41175842285156, -0.797980785369873
 108660.65735345834, 101.41154479980469, -0.7821269035339355
 108661.60188195834, 101.41065216064453, -0.7081418037414551
 108662.54649400001, 101.41065216064453, -0.7081418037414551
 108663.49482816667, 101.41133880615234, -0.766273021697998
 108664.44016791668, 101.41199493408203, -0.8191194534301758
 108665.38124616667, 101.41217803955078, -0.8349733352661133
 108666.32696354168, 101.41255950927734, -0.8666810989379883
 108667.27441758334, 101.41272735595703, -0.8772501945495605
 108668.21472100001, 101.41272735595703, -0.8772501945495605
 108669.15839016667, 101.41236877441406, -0.8508272171020508
 108670.10307525001, 101.41219329833984, -0.8349733352661133
 108671.053084125, 101.4115982055664, -0.7874112129211426
 108671.995066125, 101.41102600097656, -0.7398495674133301
 108672.93823766668, 101.41075897216797, -0.7134265899658203
 108673.88194237501, 101.41047668457031, -0.6922879219055176
 108674.82603304167, 101.40991973876953, -0.6447262763977051
 108675.77257683333, 101.40991973876953, -0.6447262763977051
 108676.71729533334, 101.40994262695312, -0.6500105857849121
 108677.662719375, 101.40994262695312, -0.6500105857849121
 108678.60967825001, 101.40994262695312, -0.6500105857849121
 108679.55208295834, 101.40977478027344, -0.6341567039489746
 108680.49513341667, 101.40885162353516, -0.5548872947692871
 108681.43929845834, 101.40689086914062, -0.3963479995727539
 108682.38415645834, 101.40689086914062, -0.3963479995727539
 108683.32892454167, 101.40736389160156, -0.43334054946899414
 108684.27374870834, 101.40770721435547, -0.4597635269165039
 108685.22122233333, 101.40828704833984, -0.5073256492614746
 108686.16468204168, 101.41183471679688, -0.8032650947570801
 108687.11271312501, 101.41273498535156, -0.8772501945495605
 108688.05616266667, 101.41522216796875, -1.0886359214782715
 108689.00122295834, 101.41924285888672, -1.4215679168701172
 108689.94741187501, 101.41924285888672, -1.4215679168701172
 108690.89335416668, 101.41737365722656, -1.2683134078979492
 108691.83653808334, 101.41206359863281, -0.8244037628173828
 108692.77897604168, 101.40845489501953, -0.5231795310974121
 108693.72408287501, 101.40834045410156, -0.5126099586486816
 108694.66931391667, 101.40753173828125, -0.44919443130493164
 108695.61435720834, 101.40834045410156, -0.5126099586486816
 108696.56228545833, 101.41021728515625, -0.6711492538452148
 108697.50548433333, 101.41059875488281, -0.7028570175170898
 108698.449668, 101.41487121582031, -1.0569281578063965
 108699.394998, 101.41487121582031, -1.0569281578063965
 108700.34026016667, 101.41201782226562, -0.8191194534301758
 108701.28812033334, 101.41201782226562, -0.8191194534301758
 108702.23158816667, 101.40997314453125, -0.6500105857849121
 108703.17607354168, 101.40496826171875, -0.23252439498901367
 108704.12114470833, 101.40496826171875, -0.23252439498901367
 108705.06628229168, 101.40906524658203, -0.5760259628295898
 108706.01492720834, 101.4102554321289, -0.6711492538452148
 108706.96044816668, 101.4102554321289, -0.6711492538452148
 108707.90196183334, 101.4137191772461, -0.9618043899536133
 108708.84715825, 101.4137191772461, -0.9618043899536133
 108709.79235558334, 101.42080688476562, -1.5536842346191406
 108710.738340875, 101.41969299316406, -1.4585604667663574
 108711.68600941668, 101.42080688476562, -1.5536842346191406
 108712.62931925, 101.41969299316406, -1.4585604667663574
 108713.57393004168, 101.41401672363281, -0.9882278442382812
 108714.52135354167, 101.41314697265625, -0.9142427444458008
 108715.46912908334, 101.41401672363281, -0.9882278442382812
 108716.41550966668, 101.41427612304688, -1.0093660354614258
 108717.35900166667, 101.41459655761719, -1.0357894897460938
 108718.30178833334, 101.41427612304688, -1.0093660354614258
 108719.24709437501, 101.41459655761719, -1.0357894897460938
 108720.19636712501, 101.41549682617188, -1.1097745895385742
 108721.13854016668, 101.41549682617188, -1.1097745895385742
 108722.08406354167, 101.4132080078125, -0.919527530670166
 108723.02977279168, 101.41312408447266, -0.9142427444458008
 108723.97963816667, 101.41191864013672, -0.8138346672058105
 108724.92172083334, 101.40974426269531, -0.6288723945617676
 108725.86684329167, 101.40974426269531, -0.6288723945617676
 108726.81254545834, 101.41256713867188, -0.8666810989379883
 108727.76292766667, 101.4129867553711, -0.8983888626098633
 108728.70548804167, 101.41337585449219, -0.9300966262817383
 108729.64967095834, 101.41371154785156, -0.9618043899536133
 108730.59522704167, 101.41374206542969, -0.9618043899536133
 108731.54119379168, 101.41374206542969, -0.9618043899536133
 108732.489295, 101.41329956054688, -0.924811840057373
 108733.432589125, 101.41284942626953, -0.887819766998291
 108734.37834395833, 101.41259002685547, -0.8666810989379883
 108735.32451470834, 101.41236114501953, -0.8508272171020508
 108736.2722535, 101.41182708740234, -0.8032650947570801
 108737.21627604167, 101.41154479980469, -0.7821269035339355
 108738.162079125, 101.4113998413086, -0.766273021697998
 108739.10806775, 101.41126251220703, -0.7557034492492676
 108740.05532858334, 101.4113998413086, -0.766273021697998
 108741.00014358334, 101.41148376464844, -0.7768421173095703
 108741.94641233335, 101.41187286376953, -0.8085498809814453
 108742.89550608334, 101.4119873046875, -0.8191194534301758
 108743.838762625, 101.4119873046875, -0.8191194534301758
 108744.78434183334, 101.4115982055664, -0.7874112129211426
 108745.73054533334, 101.41109466552734, -0.7451343536376953
 108746.68055487501, 101.41101837158203, -0.7345647811889648
 108747.62653379167, 101.41071319580078, -0.7134265899658203
 108748.57220479168, 101.41071319580078, -0.7134265899658203
 108749.52195791667, 101.41102600097656, -0.7398495674133301
 108750.46722704168, 101.4114990234375, -0.7768421173095703
 108751.40891683334, 101.411865234375, -0.8085498809814453
 108752.35567445833, 101.41211700439453, -0.829688549041748
 108753.30531216667, 101.41220092773438, -0.8349733352661133
 108754.25033237501, 101.41244506835938, -0.8561115264892578
 108755.19372366667, 101.41291046142578, -0.893104076385498
 108756.13807995834, 101.4129409790039, -0.8983888626098633
 108757.08669904167, 101.41364288330078, -0.9565200805664062
 108758.03428091668, 101.41454315185547, -1.0305047035217285
 108758.97822870834, 101.416259765625, -1.1731901168823242
 108759.92653350001, 101.41735076904297, -1.2630290985107422
 108760.87114720834, 101.4185791015625, -1.3634371757507324
 108761.81561958334, 101.42003631591797, -1.4849839210510254
 108762.76165866667, 101.42206573486328, -1.6540923118591309
 108763.70933408334, 101.42206573486328, -1.6540923118591309
 108764.65474475, 101.42147064208984, -1.6065306663513184
 108765.61541354167, 101.41690826416016, -1.226036548614502
 108766.55147216667, 101.4085464477539, -0.5337486267089844
 108767.49845750001, 101.39559936523438, 0.5443177223205566
 108768.44323079167, 101.37653350830078, 2.1349940299987793
 108769.39338616667, 101.35539245605469, 3.8894946575164795
 108770.33994445833, 101.3343505859375, 5.6439948081970215
 108771.28204304168, 101.31217956542969, 7.4883341789245605
 108772.23125187501, 101.28887939453125, 9.427797317504883
 108773.17513916668, 101.2706069946289, 10.949772834777832
 108774.12132058333, 101.25173950195312, 12.521953582763672
 108775.07247683335, 101.2318115234375, 14.181329727172852
 108776.01514883334, 101.20792388916016, 16.170997619628906
 108776.96217745834, 101.18489837646484, 18.08932113647461
 108777.91249758334, 101.15819549560547, 20.31415367126465
 108778.85598237501, 101.13025665283203, 22.64468002319336
 108779.80295545833, 101.10111999511719, 25.072973251342773
 108780.75371895834, 101.0761947631836, 27.15247917175293
 108781.69853762501, 101.04986572265625, 29.34824562072754
 108782.64376975001, 101.02374267578125, 31.528160095214844
 108783.59167229167, 100.99913024902344, 33.581241607666016
 108784.537375375, 100.97404479980469, 35.67660140991211
 108785.48423083335, 100.94877624511719, 37.78517150878906
 108786.43234741667, 100.92462158203125, 39.80126190185547
 108787.37805075, 100.89996337890625, 41.862274169921875
 108788.32440712501, 100.87568664550781, 43.88893127441406
 108789.27639533333, 100.85054016113281, 45.98957443237305
 108790.219499875, 100.82379150390625, 48.22761917114258
 108791.16916908334, 100.79647827148438, 50.51058578491211
 108792.11509816667, 100.77131652832031, 52.611228942871094
 108793.05868825, 100.74687957763672, 54.6563835144043
 108794.00819579167, 100.72310638427734, 56.643409729003906
 108794.95252470834, 100.70435333251953, 58.212947845458984
 108795.899141, 100.69317626953125, 59.1483268737793
 108796.84953554167, 100.67518615722656, 60.654449462890625
 108797.79326170834, 100.65632629394531, 62.23191452026367
 108798.74053695834, 100.6401138305664, 63.59006881713867
 108799.69226920835, 100.63259887695312, 64.21894073486328
 108800.63819933333, 100.6323013305664, 64.24272155761719
 108801.58207095833, 100.6323013305664, 64.24272155761719
 108802.53097779167, 100.66598510742188, 61.42336654663086
 108803.47645125001, 100.73780822753906, 55.414730072021484
 108804.42530425, 100.81031799316406, 49.353248596191406
 108805.370684875, 100.93241119384766, 39.15125274658203
 108806.317835875, 101.1041488647461, 24.82195281982422
 108807.26662358335, 101.23796081542969, 13.668720245361328
 108808.21202866668, 101.2933120727539, 9.05787181854248
 108809.15933295834, 101.2933120727539, 9.05787181854248
 108810.11055504167, 101.2352294921875, 13.895959854125977
 108811.05377004168, 101.09443664550781, 25.630502700805664
 108812.00148829167, 100.96803283691406, 36.17864227294922
 108812.948323375, 100.90290832519531, 41.61653518676758
 108813.89477720833, 100.90290832519531, 41.61653518676758
 108814.84335716667, 101.00117492675781, 33.412132263183594
 108815.78917904168, 101.13465881347656, 22.27739715576172
 108816.73651687501, 101.2639389038086, 11.504659652709961
 108817.68470162501, 101.30093383789062, 8.423715591430664
 108818.63395325001, 101.30093383789062, 8.423715591430664
 108819.58573975001, 101.20990753173828, 16.007173538208008
 108820.52837495835, 101.0998306274414, 25.181306838989258
 108821.47313700001, 101.01710510253906, 32.083045959472656
 108822.42073729167, 101.01710510253906, 32.083045959472656
 108823.36781345835, 101.07453918457031, 27.289878845214844
 108824.317631875, 101.17705535888672, 18.74461555480957
 108825.26381625001, 101.29405975341797, 8.997098922729492
 108826.21019716667, 101.38227081298828, 1.6540918350219727
 108827.15765375001, 101.4388427734375, -3.04923677444458
 108828.10517108334, 101.44931030273438, -3.9212021827697754
 108829.05523658334, 101.44931030273438, -3.9212021827697754
 108829.99998404167, 101.42518615722656, -1.9130396842956543
 108830.9535515, 101.37496948242188, 2.2618255615234375
 108831.89938829167, 101.2635726928711, 11.536367416381836
 108832.84253770833, 101.2128677368164, 15.758794784545898
 108833.79138083334, 101.13902282714844, 21.912757873535156
 108834.73746816667, 101.13902282714844, 21.912757873535156
 108835.68842037501, 101.19639587402344, 17.132801055908203
 108836.63265758334, 101.2886962890625, 9.44365119934082
 108837.58068320835, 101.33607482910156, 5.501309394836426
 108838.52910158334, 101.34613800048828, 4.6610517501831055
 108839.47499279167, 101.34613800048828, 4.6610517501831055
 108840.42360408333, 101.27389526367188, 10.674971580505371
 108841.37005233334, 101.21302795410156, 15.745582580566406
 108842.31769800001, 101.20516204833984, 16.40087890625
 108843.269863875, 101.21302795410156, 15.745582580566406
 108844.21440941667, 101.22908782958984, 14.4085693359375
 108845.16215108334, 101.2479248046875, 12.839031219482422
 108846.108521125, 101.2479248046875, 12.839031219482422
 108847.058711, 101.25407409667969, 12.326421737670898
 108848.00350758334, 101.25829315185547, 11.974992752075195
 108848.9512485, 101.2939453125, 9.005025863647461
 108849.89893566667, 101.29891967773438, 8.59282398223877
 108850.84829575001, 101.2939453125, 9.005025863647461
 108851.79544591668, 101.28032684326172, 10.141222953796387
 108852.74222500001, 101.23409271240234, 13.991083145141602
 108853.69222808334, 101.17621612548828, 18.813316345214844
 108854.63767341667, 101.17621612548828, 18.813316345214844
 108855.58912829167, 101.18902587890625, 17.745819091796875
 108856.533926, 101.21392059326172, 15.671598434448242
 108857.48091954167, 101.2525863647461, 12.450611114501953
 108858.43074475, 101.2943344116211, 8.973318099975586
 108859.378914375, 101.31424713134766, 7.316583156585693
 108860.32651491667, 101.31424713134766, 7.316583156585693
 108861.27265416668, 101.3065185546875, 7.958666801452637
 108862.22281366667, 101.3013687133789, 8.389365196228027
 108863.17100729168, 101.28071594238281, 10.10687255859375
 108864.12076170834, 101.28071594238281, 10.10687255859375
 108865.06484183334, 101.29507446289062, 8.912544250488281
 108866.01284625, 101.32050323486328, 6.796046257019043
 108866.96397095834, 101.32792663574219, 6.177743434906006
 108867.90838425001, 101.33457946777344, 5.622856140136719
 108868.857401125, 101.34764099121094, 4.5342206954956055
 108869.80410183335, 101.3561782836914, 3.8260788917541504
 108870.75358716668, 101.3598861694336, 3.5195698738098145
 108871.700401875, 101.36444854736328, 3.139075756072998
 108872.65529200001, 101.36841583251953, 2.8061435222625732
 108873.59865470834, 101.3727035522461, 2.4520726203918457
 108874.54697933335, 101.3758316040039, 2.1931252479553223
 108875.49277900001, 101.37902069091797, 1.9236087799072266
 108876.44457258334, 101.3823013305664, 1.6540918350219727
 108877.38889458335, 101.38477325439453, 1.447990894317627
 108878.34310433334, 101.386474609375, 1.3053059577941895
 108879.28784266667, 101.38812255859375, 1.167905330657959
 108880.23319416668, 101.38966369628906, 1.0410737991333008
 108881.18146420833, 101.3911361694336, 0.9195270538330078
 108882.12944004167, 101.39210510253906, 0.8349728584289551
 108883.07816112501, 101.39386749267578, 0.6922874450683594
 108884.02720145835, 101.39533233642578, 0.5654563903808594
 108884.97511716667, 101.3964614868164, 0.4756174087524414
 108885.92134658335, 101.39657592773438, 0.46504831314086914
 108886.87194225, 101.39774322509766, 0.36992454528808594
 108887.81742041667, 101.39774322509766, 0.36992454528808594
 108888.77113741667, 101.39765930175781, 0.37520933151245117
 108889.71448391667, 101.39764404296875, 0.37520933151245117
 108890.66468004168, 101.39764404296875, 0.37520933151245117
 108891.61013833334, 101.39839172363281, 0.31179380416870117
 108892.56211675, 101.39986419677734, 0.1902470588684082
 108893.50790550001, 101.40133666992188, 0.06870031356811523
 108894.45902304168, 101.40263366699219, -0.036992549896240234
 108895.402884625, 101.40390014648438, -0.1426854133605957
 108896.35621045834, 101.4046401977539, -0.2061009407043457
 108897.30007350001, 101.40507507324219, -0.24309349060058594
 108898.24804154168, 101.4061508178711, -0.3329324722290039
 108899.19611054167, 101.40727996826172, -0.4280557632446289
 108900.14439091667, 101.40800476074219, -0.4861869812011719
 108901.09261829167, 101.4092025756836, -0.5865950584411621
 108902.04103283334, 101.41059875488281, -0.7028570175170898
 108902.98927979167, 101.41107177734375, -0.7398495674133301
 108903.93761420833, 101.41120910644531, -0.7504191398620605
 108904.89004454168, 101.41107177734375, -0.7398495674133301
