Relative Time Stamp (s),Magnetic North in Device x,Magnetic North in Device y,Magnetic North in Device z
108640.37244279167, 191.5071563720703, 17.41046142578125, -657.11767578125
 108640.373146875, 191.3525848388672, 17.2557373046875, -657.0753173828125
 108640.37758983334, 191.589111328125, 16.936981201171875, -657.2997436523438
 108640.38114575001, 191.7566375732422, 16.889801025390625, -657.3607177734375
 108640.38299520835, 191.63616943359375, 17.050064086914062, -657.1303100585938
 108640.38408133334, 191.92596435546875, 17.031814575195312, -657.2762451171875
 108640.38518512501, 191.82447814941406, 17.230514526367188, -657.0884399414062
 108640.38631245834, 191.99481201171875, 17.090911865234375, -657.15625
 108640.38749333334, 192.04087829589844, 16.973983764648438, -657.2843017578125
 108640.38866625, 191.62037658691406, 17.337432861328125, -657.1202392578125
 108640.38976983335, 191.87185668945312, 17.641891479492188, -656.8861083984375
 108640.390858625, 191.62965393066406, 17.294464111328125, -657.1450805664062
 108640.40556529167, 191.630615234375, 17.01251220703125, -656.9229736328125
 108640.40700058333, 191.72647094726562, 17.48321533203125, -656.8739013671875
 108640.42785583335, 191.57183837890625, 18.35015869140625, -656.7622680664062
 108640.42905704168, 191.7368621826172, 17.498062133789062, -656.8629150390625
 108640.44660120834, 191.51979064941406, 17.664413452148438, -656.853759765625
 108640.44777141667, 191.33047485351562, 17.76055908203125, -657.049560546875
 108640.46566816667, 191.658447265625, 17.641754150390625, -656.9444580078125
 108640.46677337501, 191.50421142578125, 17.841766357421875, -656.9528198242188
 108640.48682254167, 191.51129150390625, 17.758804321289062, -656.8633422851562
 108640.48846200001, 191.12396240234375, 17.60076904296875, -656.9315185546875
 108640.50695162501, 191.42063903808594, 17.658309936523438, -657.1328735351562
 108640.50857837501, 191.50926208496094, 17.978607177734375, -657.0631103515625
 108640.53934825001, 191.53567504882812, 17.670303344726562, -656.5314331054688
 108640.54165158333, 191.32550048828125, 17.840560913085938, -656.9031982421875
 108640.55606850001, 191.59324645996094, 18.133575439453125, -656.8677368164062
 108640.55714462501, 191.55662536621094, 18.28662109375, -656.8388671875
 108640.57238387501, 191.45150756835938, 18.081344604492188, -656.7291870117188
 108640.57345670834, 191.44802856445312, 18.246002197265625, -657.021728515625
 108640.58228825, 191.63497924804688, 18.883377075195312, -656.6066284179688
 108640.58369654167, 191.3078155517578, 18.536712646484375, -656.7598266601562
 108640.60217337501, 191.58694458007812, 18.241470336914062, -656.890625
 108640.603854, 191.7281036376953, 18.4207763671875, -656.7696533203125
 108640.621796, 191.7019805908203, 18.410202026367188, -656.8643798828125
 108640.62400841668, 191.70582580566406, 18.72808837890625, -656.488037109375
 108640.64148729168, 191.46327209472656, 18.546646118164062, -656.5596923828125
 108640.64353933334, 191.64356994628906, 18.805709838867188, -656.5048217773438
 108640.66118345835, 191.3268280029297, 18.483963012695312, -656.4710693359375
 108640.663080625, 191.15054321289062, 18.67059326171875, -656.47607421875
 108640.68087604168, 191.44906616210938, 18.980087280273438, -656.4002685546875
 108640.68267741667, 191.18966674804688, 18.75921630859375, -656.2632446289062
 108640.70050870834, 191.16571044921875, 18.917404174804688, -656.2569580078125
 108640.70211929167, 191.47999572753906, 19.314834594726562, -656.2950439453125
 108640.72017633334, 191.31521606445312, 19.2867431640625, -656.0787353515625
 108640.72176195834, 191.475830078125, 19.299957275390625, -656.1640625
 108640.7399715, 191.7063446044922, 19.729202270507812, -656.1193237304688
 108640.7415975, 191.8516387939453, 19.992202758789062, -656.0322265625
 108640.759881125, 191.99703979492188, 19.841384887695312, -655.9281005859375
 108640.76153837501, 192.0345916748047, 19.785812377929688, -656.0877075195312
 108640.77923862501, 192.00796508789062, 19.803359985351562, -655.950439453125
 108640.78116179167, 192.25685119628906, 19.889373779296875, -655.9871826171875
 108640.79901775, 192.12301635742188, 19.978912353515625, -655.877685546875
 108640.80090175, 192.87486267089844, 19.715469360351562, -656.2689819335938
 108640.81888070834, 192.6797637939453, 19.662521362304688, -656.0242309570312
 108640.82052079168, 192.80064392089844, 19.41021728515625, -656.1534423828125
 108640.83838729167, 192.68121337890625, 19.3582763671875, -655.948486328125
 108640.84034237501, 193.3177947998047, 19.381607055664062, -655.9545288085938
 108640.85809879168, 193.20452880859375, 19.069122314453125, -656.1896362304688
 108640.85993166668, 193.71322631835938, 19.31951904296875, -656.542724609375
 108640.87762995834, 193.75257873535156, 19.33978271484375, -656.129150390625
 108640.88020804168, 194.39891052246094, 18.976104736328125, -656.2882080078125
 108640.89723462501, 195.14529418945312, 19.19049072265625, -656.02294921875
 108640.89877362501, 195.291015625, 18.770538330078125, -656.2796630859375
 108640.91702804167, 195.92242431640625, 18.983352661132812, -656.453857421875
 108640.91863795834, 196.511962890625, 18.805709838867188, -655.9312133789062
 108640.93671495834, 197.62615966796875, 19.063812255859375, -656.0607299804688
 108640.93834962501, 198.35958862304688, 19.12835693359375, -656.0221557617188
 108640.95639125, 199.24618530273438, 19.214096069335938, -655.4879760742188
 108640.95801529168, 200.59645080566406, 19.4827880859375, -655.0413208007812
 108640.97603466667, 201.264892578125, 19.5343017578125, -654.8819580078125
 108640.97754829167, 202.47256469726562, 19.524154663085938, -654.3435668945312
 108640.99571854167, 203.6863250732422, 19.589340209960938, -653.7060546875
 108640.99728491667, 204.64857482910156, 19.528228759765625, -653.529541015625
 108641.01546558335, 205.0487823486328, 19.267684936523438, -653.3857421875
 108641.01731645834, 206.07786560058594, 19.350509643554688, -653.2839965820312
 108641.03516162501, 206.47604370117188, 19.048995971679688, -653.31982421875
 108641.03719683333, 207.1559600830078, 18.758804321289062, -653.15234375
 108641.05482770834, 207.3434600830078, 18.468109130859375, -653.1442260742188
 108641.05680375, 208.43992614746094, 18.257415771484375, -652.6511840820312
 108641.074456125, 208.75997924804688, 18.27276611328125, -652.5598754882812
 108641.07625733333, 209.4370880126953, 17.928573608398438, -651.798095703125
 108641.09407720834, 210.25955200195312, 17.972930908203125, -651.8953857421875
 108641.09591304167, 210.9231414794922, 17.776168823242188, -651.4853515625
 108641.11428795833, 211.6002197265625, 17.766143798828125, -651.515380859375
 108641.11660408333, 211.8834686279297, 17.260482788085938, -651.1639404296875
 108641.13348554168, 212.70689392089844, 16.938034057617188, -651.0137329101562
 108641.13525158334, 212.95762634277344, 16.721755981445312, -650.8922119140625
 108641.15327533334, 213.7098388671875, 17.122161865234375, -650.3973999023438
 108641.15489854167, 214.2651824951172, 16.350296020507812, -649.8673095703125
 108641.17319291667, 215.07093811035156, 16.318099975585938, -649.3528442382812
 108641.17508695833, 215.63014221191406, 16.431549072265625, -648.9774169921875
 108641.192652875, 216.33702087402344, 16.081283569335938, -648.7681884765625
 108641.19452383334, 216.60726928710938, 15.870025634765625, -648.2349243164062
 108641.21260441668, 217.00552368164062, 16.058151245117188, -648.203125
 108641.21448370835, 217.5206298828125, 15.603424072265625, -647.4400634765625
 108641.23341545834, 217.97044372558594, 15.625885009765625, -646.7108154296875
 108641.23502200001, 218.59814453125, 15.481155395507812, -646.15576171875
 108641.25165770834, 219.02940368652344, 15.591934204101562, -645.829833984375
 108641.25335179167, 219.5435791015625, 15.507644653320312, -645.2800903320312
 108641.27368741667, 219.83131408691406, 15.51300048828125, -644.4854736328125
