Relative Time Stamp (s),Barometic Pressure (kPa),Estimated Altitude a.s.l. (m)
319531.541738375, 102.15145111084, 0.0
 319532.567963792, 102.152572631836, -0.095123291015625
 319533.601624958, 102.153701782227, -0.19024658203125
 319534.622404375, 102.158256530762, -0.565452575683594
 319535.654964083, 102.15975189209, -0.687004089355469
 319536.681130083, 102.15975189209, -0.687004089355469
 319537.670232792, 102.15975189209, -0.687004089355469
 319538.623023458, 102.161178588867, -0.808547973632812
 319539.571310125, 102.161178588867, -0.808547973632812
 319540.523070542, 102.161178588867, -0.808547973632812
 319541.474985667, 102.161544799805, -0.834968566894531
 319542.426780583, 102.161605834961, -0.840255737304688
 319543.379913792, 102.162544250488, -0.919525146484375
 319544.334990583, 102.162826538086, -0.940666198730469
 319545.2849185, 102.162544250488, -0.919525146484375
 319546.234715917, 102.161102294922, -0.797981262207031
 319547.188384708, 102.16104888916, -0.792694091796875
 319548.1388145, 102.16104888916, -0.792694091796875
 319549.095469917, 102.16104888916, -0.792694091796875
 319550.045082417, 102.16153717041, -0.834968566894531
 319550.997410792, 102.16153717041, -0.834968566894531
 319551.950966417, 102.162223815918, -0.893104553222656
 319552.89966825, 102.162223815918, -0.893104553222656
 319553.85463425, 102.161056518555, -0.792694091796875
 319554.804291583, 102.161056518555, -0.792694091796875
 319555.759874708, 102.161918640137, -0.866676330566406
 319556.708677292, 102.161918640137, -0.866676330566406
 319557.664192542, 102.161598205566, -0.840255737304688
 319558.615015167, 102.161499023438, -0.829689025878906
 319559.567691125, 102.161499023438, -0.829689025878906
 319560.518119458, 102.16130065918, -0.813835144042969
 319561.470323417, 102.16032409668, -0.734565734863281
 319562.42444925, 102.159950256348, -0.702857971191406
 319563.375020125, 102.159576416016, -0.671150207519531
 319564.327363917, 102.159248352051, -0.644721984863281
 319565.280351958, 102.158683776855, -0.597160339355469
 319566.234103542, 102.158393859863, -0.576026916503906
 319567.188550167, 102.158393859863, -0.576026916503906
 319568.140863333, 102.158645629883, -0.597160339355469
 319569.093029917, 102.158645629883, -0.597160339355469
 319570.042233, 102.158134460449, -0.554885864257812
 319570.994703292, 102.158126831055, -0.554885864257812
 319571.94727125, 102.158134460449, -0.554885864257812
 319572.899776125, 102.158004760742, -0.544319152832031
 319573.852187917, 102.158233642578, -0.560173034667969
 319574.805233917, 102.15828704834, -0.565452575683594
 319575.759583708, 102.15828704834, -0.565452575683594
 319576.711997917, 102.158203125, -0.560173034667969
 319577.664175417, 102.158203125, -0.560173034667969
 319578.618758875, 102.158203125, -0.560173034667969
 319579.571399292, 102.158294677734, -0.565452575683594
 319580.52472575, 102.158332824707, -0.57073974609375
 319581.473617625, 102.158477783203, -0.581306457519531
 319582.426175, 102.158782958984, -0.607734680175781
 319583.378958583, 102.158843994141, -0.613014221191406
 319584.331643667, 102.158843994141, -0.613014221191406
 319585.28665725, 102.159049987793, -0.628868103027344
 319586.237065917, 102.159507751465, -0.665863037109375
 319587.190317167, 102.159660339355, -0.681716918945312
 319588.145617125, 102.159637451172, -0.676429748535156
 319589.095764458, 102.159660339355, -0.681716918945312
 319590.049227333, 102.205200195312, -4.44438171386719
 319591.005628583, 102.205200195312, -4.44438171386719
 319591.956438875, 102.205200195312, -4.44438171386719
 319592.909841625, 102.243675231934, -7.625732421875
 319593.864302833, 102.243675231934, -7.625732421875
 319594.8122925, 102.055168151855, 7.96395111083984
 319595.769317875, 101.971572875977, 14.8868293762207
 319596.71787725, 101.828895568848, 26.708568572998
 319597.670801292, 101.734245300293, 34.5562591552734
 319598.623624, 101.561050415039, 48.9357604980469
 319599.578431458, 101.561050415039, 48.9357604980469
 319600.532071292, 101.628486633301, 43.3340454101562
 319601.482875542, 101.741493225098, 33.9538116455078
 319602.437188958, 101.819969177246, 27.4484176635742
 319603.38962275, 101.860916137695, 24.0503959655762
 319604.3418005, 101.986953735352, 13.6079483032227
 319605.299125542, 101.990585327148, 13.3120079040527
 319606.24840025, 102.000953674316, 12.450611114502
 319607.201863792, 102.00764465332, 11.8957252502441
 319608.158264708, 102.101943969727, 4.09559631347656
 319609.107612792, 102.136436462402, 1.24188995361328
 319610.062470583, 102.14673614502, 0.385780334472656
 319611.011831208, 102.147109985352, 0.359359741210938
 319611.965004333, 102.149047851562, 0.195533752441406
 319612.918584833, 102.152557373047, -0.095123291015625
 319613.870882042, 102.153038024902, -0.132118225097656
 319614.824973667, 102.156455993652, -0.412200927734375
 319615.7770385, 102.156745910645, -0.438621520996094
 319616.730109583, 102.157699584961, -0.517890930175781
 319617.683120542, 102.159309387207, -0.650009155273438
 319618.636330833, 102.159355163574, -0.655296325683594
 319619.589167875, 102.159355163574, -0.655296325683594
 319620.542878, 102.159355163574, -0.655296325683594
 319621.495327292, 102.160461425781, -0.745132446289062
 319622.448321667, 102.160461425781, -0.745132446289062
