Relative Time Stamp (s),Magnetic North in Device x,Magnetic North in Device y,Magnetic North in Device z
319530.655891083, 2.460693359375, 103.093460083008, -629.904541015625
 319530.657802833, 1.83967590332031, 102.98796081543, -629.827331542969
 319530.658713, 1.73524475097656, 102.605010986328, -629.82421875
 319530.659759875, 1.89607238769531, 102.689300537109, -629.593200683594
 319530.660744875, 1.78616333007812, 102.230529785156, -629.589477539062
 319530.661506833, 1.94427490234375, 102.312896728516, -629.821472167969
 319530.662330208, 1.56016540527344, 102.294799804688, -629.66748046875
 319530.66319525, 1.70916748046875, 102.226776123047, -629.589599609375
 319530.663959542, 1.7677001953125, 102.987762451172, -628.978576660156
 319530.664696542, 1.96896362304688, 102.618194580078, -629.361022949219
 319530.665404583, 1.85842895507812, 103.217086791992, -629.443359375
 319530.6660365, 1.80215454101562, 102.457717895508, -629.668579101562
 319530.682920958, 1.76786804199219, 102.001724243164, -629.896240234375
 319530.683710208, 2.16981506347656, 102.248306274414, -629.820617675781
 319530.699483917, 2.21340942382812, 101.796691894531, -629.893920898438
 319530.7004075, 2.42292785644531, 101.504898071289, -629.814025878906
 319530.719339125, 2.5609130859375, 101.285202026367, -629.73486328125
 319530.720136292, 2.57664489746094, 100.454086303711, -629.882141113281
 319530.737865042, 2.76129150390625, 100.843017578125, -629.344970703125
 319530.738575042, 3.0301513671875, 99.2685241699219, -629.485656738281
 319530.753891125, 2.73420715332031, 98.3478393554688, -629.323974609375
 319530.754547917, 2.82237243652344, 97.4452819824219, -629.316223144531
 319530.769750708, 2.2421875, 96.8142700195312, -628.8486328125
 319530.770384375, 1.99107360839844, 96.5009613037109, -628.53759765625
 319530.786359042, 1.4622802734375, 95.5677490234375, -628.684753417969
 319530.786987833, 1.02972412109375, 94.8677520751953, -628.370727539062
 319530.803033375, 0.518783569335938, 94.1630554199219, -628.288330078125
 319530.803674667, 0.27911376953125, 94.0017395019531, -627.9013671875
 319530.819705417, 0.0921630859375, 93.5392150878906, -627.897705078125
 319530.820345, 0.0316314697265625, 93.7629852294922, -627.899658203125
 319530.837030542, -0.0517730712890625, 93.6827392578125, -628.053466796875
 319530.837690083, -0.277297973632812, 93.7473449707031, -628.054321289062
 319530.854247708, -0.442886352539062, 94.6458282470703, -628.139343261719
 319530.854885333, -0.58636474609375, 94.7896881103516, -628.217834472656
 319530.871197833, -0.966995239257812, 95.9041442871094, -628.382141113281
 319530.872063542, -1.57432556152344, 96.0242309570312, -628.769775390625
 319530.887943125, -2.13407897949219, 96.7536010742188, -628.545166015625
 319530.88881875, -2.94223022460938, 97.2435607910156, -628.473205566406
 319530.90473625, -3.89340209960938, 97.8777160644531, -628.402648925781
 319530.905603458, -5.00131225585938, 98.4304809570312, -627.868530273438
 319530.921135, -5.67195129394531, 98.7004089355469, -627.794555664062
 319530.921765208, -6.32014465332031, 99.2740325927734, -627.645874023438
 319530.937757667, -6.80044555664062, 99.0227508544922, -627.953063964844
 319530.938485875, -6.90872192382812, 99.6232452392578, -627.649597167969
 319530.954382167, -7.01287841796875, 100.298614501953, -627.578247070312
 319530.955237875, -7.21736145019531, 100.665924072266, -627.736022949219
 319530.970908208, -6.63032531738281, 101.373764038086, -627.972717285156
 319530.971774458, -6.69131469726562, 101.597183227539, -628.051818847656
 319530.98772525, -6.51217651367188, 101.982269287109, -628.440734863281
 319530.988581625, -6.44998168945312, 102.817779541016, -628.139038085938
 319531.004578417, -6.38165283203125, 102.743438720703, -628.678466796875
 319531.005433292, -5.80424499511719, 103.300537109375, -628.682434082031
 319531.02102175, -5.21612548828125, 102.951019287109, -628.755859375
 319531.021874042, -4.65425109863281, 103.281234741211, -628.603637695312
 319531.038111417, -4.11708068847656, 103.306182861328, -628.911804199219
 319531.038970083, -3.755859375, 103.020294189453, -629.217590332031
 319531.050424542, -3.50791931152344, 103.259353637695, -629.14208984375
 319531.050468667, -3.24473571777344, 102.667007446289, -629.291137695312
 319531.064877542, -2.84965515136719, 102.836791992188, -629.446350097656
 319531.065894417, -2.62962341308594, 102.696350097656, -629.44482421875
 319531.084462333, -2.19503784179688, 102.339645385742, -629.441284179688
 319531.08544675, -1.97502136230469, 102.199203491211, -629.439819335938
