Relative Time Stamp (s),Barometic Pressure (kPa),Estimated Altitude a.s.l. (m)
316449.485649917, 102.221702575684, 0.0
 316450.514108875, 102.222640991211, -0.0792694091796875
 316451.542369417, 102.223571777344, -0.158538818359375
 316452.570065125, 102.226196289062, -0.375213623046875
 316453.598404708, 102.229904174805, -0.676437377929688
 316454.62652125, 102.230056762695, -0.692291259765625
 316455.62442075, 102.230056762695, -0.692291259765625
 316456.5681095, 102.234764099121, -1.08335113525391
 316457.521330625, 102.242736816406, -1.7386474609375
 316458.4722585, 102.242736816406, -1.7386474609375
 316459.427863792, 102.238471984863, -1.38457489013672
 316460.377912167, 102.235321044922, -1.12563323974609
 316461.332019292, 102.234733581543, -1.07807159423828
 316462.283396917, 102.227310180664, -0.465049743652344
 316463.237686917, 102.227310180664, -0.465049743652344
 316464.185319417, 102.22891998291, -0.59716796875
 316465.137879833, 102.22891998291, -0.59716796875
 316466.089583542, 102.22891998291, -0.59716796875
 316467.042514208, 102.231399536133, -0.803268432617188
 316467.994421833, 102.231399536133, -0.803268432617188
 316468.947492583, 102.229957580566, -0.681716918945312
 316469.902120333, 102.229927062988, -0.681716918945312
 316470.856288917, 102.229957580566, -0.681716918945312
 316471.804415167, 102.230316162109, -0.713432312011719
 316472.755221375, 102.230316162109, -0.713432312011719
 316473.709420917, 102.22981262207, -0.671150207519531
 316474.659852667, 102.229393005371, -0.639442443847656
 316475.616164583, 102.22940826416, -0.639442443847656
 316476.566399125, 102.229293823242, -0.628875732421875
 316477.518610708, 102.22940826416, -0.639442443847656
 316478.472789083, 102.230621337891, -0.739852905273438
 316479.421338875, 102.230659484863, -0.739852905273438
 316480.374044375, 102.241744995117, -1.65937805175781
 316481.329249458, 102.24528503418, -1.95003509521484
 316482.278291375, 102.24528503418, -1.95003509521484
 316483.233911875, 102.236679077148, -1.23661041259766
 316484.182975583, 102.229766845703, -0.665863037109375
 316485.136954958, 102.219703674316, 0.163818359375
 316486.091345167, 102.214752197266, 0.57073974609375
 316487.043329, 102.214752197266, 0.57073974609375
 316487.9943625, 102.220771789551, 0.0739822387695312
 316488.944799, 102.230499267578, -0.729286193847656
 316489.899029167, 102.230697631836, -0.745140075683594
 316490.849723292, 102.230697631836, -0.745140075683594
 316491.80194925, 102.230857849121, -0.755706787109375
 316492.75544375, 102.231056213379, -0.771560668945312
 316493.70767575, 102.231056213379, -0.771560668945312
 316494.664173875, 102.230995178223, -0.766273498535156
 316495.614805542, 102.230995178223, -0.766273498535156
 316496.568115333, 102.231132507324, -0.782127380371094
 316497.5167585, 102.231132507324, -0.782127380371094
 316498.469708, 102.230949401855, -0.766273498535156
 316499.421616583, 102.230819702148, -0.755706787109375
 316500.374288917, 102.230812072754, -0.755706787109375
 316501.326455333, 102.230667114258, -0.739852905273438
 316502.279094083, 102.230590820312, -0.734565734863281
 316503.237257167, 102.230575561523, -0.734565734863281
 316504.185794333, 102.230575561523, -0.734565734863281
 316505.141594292, 102.230735778809, -0.750419616699219
 316506.088875708, 102.231018066406, -0.771560668945312
