Relative Time Stamp (s),Latitude,Longitude,Altitude,Horizontal Accuracy,Vertical Accuracy
316448.502734833, 51.4058266673716, -0.515534151345971, 15.4329193593209, 5.0, 3.0
 316448.579094417, 51.405827840838, -0.515532223508242, 16.0721767003605, 5.0, 3.0
 316449.579559917, 51.4058242785292, -0.515534905717257, 16.4675970424119, 5.0, 3.0
 316450.567242542, 51.4058201713966, -0.515533983707908, 16.3667079245512, 5.0, 3.0
 316451.568880625, 51.4058201713966, -0.515533983707908, 16.1464670457876, 5.0, 3.0
 316452.571416917, 51.4058160223546, -0.515525350347641, 15.759685232061, 5.0, 3.0
 316453.568346417, 51.4058122504981, -0.515520237386707, 18.3491355541947, 5.0, 3.0
 316454.599098167, 51.4058085205512, -0.515517638996724, 16.422642811021, 5.0, 3.0
 316455.563357833, 51.4058026113095, -0.515516130254153, 10.9470859022365, 5.0, 4.0
 316456.575023792, 51.4058026113095, -0.515516130254153, 20.6120384434348, 5.0, 4.0
 316457.590239833, 51.4058026113095, -0.515516130254153, 16.7249412536621, 5.0, 4.0
 316458.574546, 51.4057890745359, -0.515515375882867, 16.9057273864746, 5.0, 4.0
 316459.5718305, 51.4057890745359, -0.515515375882867, 16.8623313903809, 5.0, 4.0
 316460.589483458, 51.4057890745359, -0.515515375882867, 16.8623924255371, 5.0, 4.0
 316461.559683625, 51.4057890745359, -0.515515375882867, 16.7792015075684, 5.0, 4.0
 316462.594436417, 51.4057890745359, -0.515515375882867, 16.7793235778809, 5.0, 4.0
 316463.544971625, 51.4057890745359, -0.515515375882867, 16.7524070739746, 5.0, 4.0
 316464.559161625, 51.4057890745359, -0.515515375882867, 16.8337669372559, 5.0, 4.0
 316465.555793042, 51.4057890745359, -0.515515375882867, 16.7160301208496, 5.0, 4.0
 316466.557726042, 51.4057890745359, -0.515515375882867, 16.9983787536621, 5.0, 3.0
 316467.557821167, 51.4057890745359, -0.515515375882867, 16.7931175231934, 5.0, 4.0
 316468.560353583, 51.4057890745359, -0.515515375882867, 16.9672508239746, 5.0, 3.0
 316469.558583458, 51.4057890745359, -0.515515375882867, 17.1443748474121, 5.0, 3.0
 316470.557994958, 51.4057890745359, -0.515515375882867, 17.0527000427246, 5.0, 3.0
 316471.559714708, 51.4057890745359, -0.515515375882867, 17.2223167419434, 5.0, 3.0
 316472.558614167, 51.4057890745359, -0.515515375882867, 17.3531761169434, 5.0, 3.0
 316473.550302833, 51.4057890745359, -0.515515375882867, 17.5470848083496, 5.0, 3.0
 316474.543791583, 51.4057890745359, -0.515515375882867, 17.7809715270996, 5.0, 3.0
 316475.544074917, 51.4057890745359, -0.515515375882867, 17.8355979919434, 5.0, 3.0
 316476.545672583, 51.4057890745359, -0.515515375882867, 17.6911277770996, 5.0, 3.0
 316477.541011917, 51.4057890745359, -0.515515375882867, 17.9138450622559, 5.0, 3.0
 316478.543670917, 51.4057890745359, -0.515515375882867, 18.0128440856934, 5.0, 3.0
 316479.547727542, 51.4057890745359, -0.515515375882867, 18.0801658630371, 5.0, 3.0
 316480.540657417, 51.4057890745359, -0.515515375882867, 15.1102235900519, 5.0, 3.0
 316481.544055167, 51.4057890745359, -0.515515375882867, 16.8114093569978, 5.0, 3.0
 316482.546367, 51.4057890745359, -0.515515375882867, 16.7598531510445, 5.0, 3.0
 316483.543136875, 51.4057890745359, -0.515515375882867, 16.3566497711621, 5.0, 3.0
 316484.543602292, 51.4057890745359, -0.515515375882867, 16.2400445995662, 5.0, 3.0
 316485.5440245, 51.4057890745359, -0.515515375882867, 16.2229633015367, 5.0, 3.0
 316486.547853167, 51.4057890745359, -0.515515375882867, 16.3139762185639, 5.0, 3.0
 316487.545138583, 51.4057890745359, -0.515515375882867, 16.2103523446846, 5.0, 3.0
 316488.549878125, 51.4057890745359, -0.515515375882867, 16.1404057848675, 5.0, 3.0
 316489.5489025, 51.4057890745359, -0.515515375882867, 16.10577770315, 5.0, 3.0
 316490.549677417, 51.4057890745359, -0.515515375882867, 16.3012359192717, 5.0, 3.0
 316491.5459625, 51.4057890745359, -0.515515375882867, 16.1970478325349, 5.0, 3.0
 316492.547339458, 51.4057890745359, -0.515515375882867, 16.2321749111633, 5.0, 3.0
 316493.544695958, 51.4057890745359, -0.515515375882867, 16.1881242538647, 5.0, 3.0
 316494.543570125, 51.4057890745359, -0.515515375882867, 16.2324419502844, 5.0, 3.0
 316495.543549083, 51.4057890745359, -0.515515375882867, 16.1039606784747, 5.0, 3.0
 316496.542190958, 51.4057890745359, -0.515515375882867, 16.0857646203335, 5.0, 3.0
 316497.544299, 51.4057890745359, -0.515515375882867, 16.1936124940375, 5.0, 3.0
 316498.540753917, 51.4057890745359, -0.515515375882867, 16.1489829585032, 5.0, 3.0
 316499.544768583, 51.4057890745359, -0.515515375882867, 16.2568124614857, 5.0, 3.0
 316500.541181708, 51.4057890745359, -0.515515375882867, 16.224141607413, 5.0, 3.0
 316501.545415958, 51.4057890745359, -0.515515375882867, 16.1666534671165, 5.0, 3.0
 316502.544981083, 51.4057890745359, -0.515515375882867, 16.2165943544996, 5.0, 3.0
 316503.54524325, 51.4057890745359, -0.515515375882867, 16.1568575139761, 5.0, 3.0
 316504.547007875, 51.4057890745359, -0.515515375882867, 16.1405924165711, 5.0, 3.0
 316505.546856083, 51.4057890745359, -0.515515375882867, 16.0366685931493, 5.0, 3.0
 316506.547504917, 51.4057890745359, -0.515515375882867, 16.1492561595033, 5.0, 3.0
 316507.544766375, 51.4057890745359, -0.515515375882867, 16.2488245128524, 5.0, 3.0
 316508.548534958, 51.4057890745359, -0.515515375882867, 16.0032742367056, 5.0, 3.0
 316509.552098167, 51.4057890745359, -0.515515375882867, 16.2137516316386, 5.0, 3.0
 316510.543115167, 51.4057890745359, -0.515515375882867, 16.126171601874, 5.0, 3.0
 316511.548030208, 51.4057890745359, -0.515515375882867, 16.0745252143663, 10.0, 3.0
 316512.550393583, 51.4057890745359, -0.515515375882867, 16.3008320253981, 10.0, 3.0
 316513.547907333, 51.4057890745359, -0.515515375882867, 16.0190831692656, 10.0, 3.0
 316514.548410792, 51.4057890745359, -0.515515375882867, 16.1248900638637, 10.0, 3.0
 316515.550735708, 51.4057890745359, -0.515515375882867, 16.137754463434, 10.0, 3.0
 316516.553312625, 51.4057890745359, -0.515515375882867, 16.0421993690273, 10.0, 3.0
 316517.549242583, 51.4057890745359, -0.515515375882867, 15.8517085566332, 10.0, 3.0
 316518.5505215, 51.4057890745359, -0.515515375882867, 16.3131339848163, 10.0, 3.0
 316519.551023708, 51.4057890745359, -0.515515375882867, 15.98893975234, 10.0, 3.0
 316520.548429208, 51.4057890745359, -0.515515375882867, 16.1044541369056, 10.0, 3.0
 316521.556294292, 51.4057890745359, -0.515515375882867, 16.2298318208445, 10.0, 3.0
 316522.553789875, 51.4057890745359, -0.515515375882867, 16.0865974683643, 10.0, 3.0
 316523.555093833, 51.4057890745359, -0.515515375882867, 15.8236016345878, 10.0, 3.0
 316524.551459125, 51.4057890745359, -0.515515375882867, 16.3227624154623, 10.0, 3.0
 316525.551757417, 51.4057890745359, -0.515515375882867, 16.0874546957177, 10.0, 3.0
 316526.554288875, 51.4057890745359, -0.515515375882867, 16.0879603079839, 10.0, 3.0
 316527.555755083, 51.4057890745359, -0.515515375882867, 15.8669944763079, 10.0, 3.0
 316528.549578958, 51.4057890745359, -0.515515375882867, 16.1102806877095, 10.0, 3.0
 316529.55475325, 51.4057890745359, -0.515515375882867, 16.0836581884618, 10.0, 3.0
 316530.547390375, 51.4057890745359, -0.515515375882867, 15.6033018164388, 10.0, 3.0
 316531.548511792, 51.4057890745359, -0.515515375882867, 16.4736991530008, 10.0, 3.0
 316532.547063125, 51.4057890745359, -0.515515375882867, 15.6789535450907, 10.0, 3.0
 316533.548127875, 51.4057890745359, -0.515515375882867, 16.57314597213, 10.0, 3.0
 316534.5480845, 51.4057890745359, -0.515515375882867, 16.1486002754627, 10.0, 3.0
 316535.552507833, 51.4057890745359, -0.515515375882867, 15.8942436566539, 10.0, 3.0
 316536.550123417, 51.4057890745359, -0.515515375882867, 16.4328310687195, 10.0, 3.0
 316537.547900625, 51.4057890745359, -0.515515375882867, 16.6357336549274, 10.0, 3.0
 316538.550370792, 51.4057935169445, -0.515496013686541, 15.9492424998362, 10.0, 3.0
 316539.553757792, 51.4057938941302, -0.515494588763002, 16.290892632837, 10.0, 3.0
 316540.54819325, 51.4057940198587, -0.51549500785816, 16.2455438176468, 10.0, 3.0
 316541.550347583, 51.4057941874968, -0.515492996201399, 16.1201398249525, 10.0, 3.0
 316542.545057292, 51.4057948999586, -0.515487715602401, 16.0311731759126, 10.0, 3.0
 316543.550096417, 51.4057945646824, -0.515472292900566, 16.0555636516166, 10.0, 3.0
 316544.5501615, 51.4057996776434, -0.51546030677903, 16.3470081533663, 10.0, 3.0
 316545.554669917, 51.4058052935185, -0.515459133312586, 17.2133991941789, 10.0, 3.0
 316546.549172958, 51.4058052935185, -0.515459133312586, 17.9108289377918, 10.0, 3.0
 316547.548809167, 51.4058074309038, -0.515441615134958, 19.5607918867029, 10.0, 3.0
 316548.551869667, 51.4058077242704, -0.515415295958999, 21.0346262256871, 10.0, 3.0
 316549.548684417, 51.4058036171379, -0.515380930155996, 21.8242335778709, 10.0, 3.0
 316550.548136208, 51.4057969535248, -0.515339523554328, 24.3146678596031, 10.0, 3.0
 316551.551552958, 51.4057964506107, -0.515338433906916, 25.2860740015445, 10.0, 4.0
 316552.546791333, 51.4057965344297, -0.515339523554328, 26.1342807827059, 10.0, 3.0
 316553.539317375, 51.4057965344297, -0.515339523554328, 27.8631299306372, 10.0, 3.0
 316554.55104175, 51.4057965344297, -0.515339523554328, 29.7790619985507, 10.0, 3.0
 316555.558346625, 51.4057965344297, -0.515339523554328, 31.4895900929771, 10.0, 3.0
 316556.558846958, 51.4057965344297, -0.515339523554328, 32.3704147314966, 10.0, 3.0
 316557.559875542, 51.4057965344297, -0.515339523554328, 34.9037257583171, 10.0, 3.0
 316558.565546333, 51.4057965344297, -0.515339523554328, 36.5508607119164, 10.0, 3.0
 316559.557268417, 51.4057965344297, -0.515339523554328, 37.559663463435, 10.0, 3.0
 316560.563555333, 51.4057965344297, -0.515339523554328, 40.3796357813016, 10.0, 3.0
 316561.566564625, 51.4057965344297, -0.515339523554328, 41.3476347020977, 10.0, 3.0
 316562.568064375, 51.4057965344297, -0.515339523554328, 42.4613723206859, 10.0, 3.0
 316563.558806625, 51.4057883201646, -0.515330722555998, 44.9556939008305, 10.0, 3.0
 316564.556473417, 51.4057724783676, -0.515316473320606, 46.2235909801956, 10.0, 3.0
 316565.556964875, 51.4057724783676, -0.515316473320606, 47.7688039752498, 10.0, 3.0
 316566.558411292, 51.4057528228046, -0.515289818868521, 50.9986749446369, 10.0, 3.0
 316567.555662958, 51.4057390764834, -0.515255033970359, 51.0936765254483, 10.0, 3.0
 316568.547915833, 51.4057262102621, -0.515193762258175, 51.9022094547211, 10.0, 3.0
 316569.54829225, 51.4057195047395, -0.515136010945323, 52.517320570455, 10.0, 3.0
 316570.551200542, 51.4057093207272, -0.515078259632471, 51.9682825728852, 10.0, 3.0
 316571.546238042, 51.4056963706868, -0.515022855252507, 52.0757802220532, 10.0, 3.0
 316572.5471635, 51.405681031804, -0.514953285456183, 51.5000387313961, 10.0, 3.0
 316573.550556208, 51.4056609990554, -0.514876171947005, 48.6725921351177, 10.0, 3.0
 316574.547114417, 51.4056287287282, -0.514797633514288, 44.096061570601, 10.0, 4.0
 316575.551870417, 51.4055898366975, -0.514707444236162, 39.9332748413552, 10.0, 4.0
 316576.552190375, 51.4054558938848, -0.51431450061548, 17.8229637145996, 10.0, 3.0
 316577.547225292, 51.4054396749022, -0.514239650220158, 16.9092063903809, 10.0, 4.0
 316578.566349458, 51.4054325502845, -0.514197070152046, 17.9154930114746, 10.0, 4.0
 316579.569422083, 51.4054329693796, -0.5142720043664, 17.6703147888184, 10.0, 4.0
 316580.567774458, 51.4054037584471, -0.514395888895275, 17.1567649841309, 10.0, 4.0
 316581.567878292, 51.4054554328801, -0.514623206109288, 16.9678611755371, 10.0, 4.0
 316582.568826042, 51.4054827159749, -0.514742480591419, 16.7047996520996, 10.0, 4.0
 316583.5617595, 51.4054891700404, -0.51487005315769, 16.3197898864746, 10.0, 4.0
 316584.559613333, 51.4055032097282, -0.515013132244828, 16.1541404724121, 30.0, 4.0
 316585.561542792, 51.4055478014531, -0.515360813588384, 15.9499168395996, 30.0, 4.0
