Relative Time Stamp (s),Magnetic North in Device x,Magnetic North in Device y,Magnetic North in Device z
316448.504885125, 28.8840179443359, 104.437850952148, -614.909545898438
 316448.5054965, 28.2479095458984, 104.177764892578, -615.525512695312
 316448.512951875, 27.7849578857422, 104.154632568359, -615.680297851562
 316448.515675042, 27.8610534667969, 104.157730102539, -615.834594726562
 316448.518237125, 27.9051361083984, 103.706451416016, -615.830749511719
 316448.520479708, 28.0655212402344, 103.790420532227, -615.676879882812
 316448.522535333, 28.3648529052734, 103.655364990234, -615.289489746094
 316448.524022708, 28.5421752929688, 103.967193603516, -615.060363769531
 316448.541118792, 28.8355712890625, 103.755935668945, -614.74951171875
 316448.544479458, 28.8529357910156, 103.984115600586, -614.597045898438
 316448.557933792, 29.3016815185547, 103.781341552734, -614.054565429688
 316448.560269792, 29.4920043945312, 103.188140869141, -613.509094238281
 316448.575895417, 30.2734375, 103.37760925293, -613.432495117188
 316448.579273333, 30.4806976318359, 103.012237548828, -612.811706542969
 316448.601825958, 31.0452880859375, 103.34440612793, -612.196411132812
 316448.60347175, 31.2191772460938, 102.523681640625, -611.648986816406
 316448.614625, 31.8104553222656, 102.176406860352, -611.182312011719
 316448.6155395, 31.9786529541016, 102.337844848633, -610.643249511719
 316448.631383458, 32.4998321533203, 102.063629150391, -609.945678710938
 316448.632244958, 33.4407806396484, 102.26448059082, -608.94287109375
 316448.644538583, 34.0224914550781, 101.766494750977, -608.243347167969
 316448.64540175, 34.2114410400391, 101.172317504883, -607.929382324219
 316448.664690667, 33.5453948974609, 101.517471313477, -608.010375976562
 316448.665554042, 33.9813537597656, 101.161727905273, -607.775207519531
 316448.682433458, 34.8614501953125, 100.528030395508, -606.842651367188
 316448.683826583, 35.3597869873047, 99.8778228759766, -605.370239257812
 316448.695935083, 35.8847961425781, 98.5482025146484, -604.04638671875
 316448.696884958, 36.8974456787109, 97.5470123291016, -602.107299804688
 316448.7165805, 37.3313293457031, 95.9877319335938, -600.395690917969
 316448.717794, 37.9598541259766, 94.9684295654297, -598.302612304688
 316448.736497042, 38.6240844726562, 94.4060974121094, -595.750244140625
 316448.73786525, 39.608642578125, 94.0113983154297, -592.967468261719
 316448.758264167, 40.0393981933594, 94.4222412109375, -589.883422851562
 316448.759897125, 40.5864715576172, 95.4403228759766, -587.576110839844
 316448.772053417, 40.7563171386719, 96.5890502929688, -585.810546875
 316448.773669917, 41.0182495117188, 97.9681243896484, -584.278442382812
 316448.791747583, 41.0946350097656, 98.9575958251953, -583.437744140625
 316448.794289458, 41.1728210449219, 100.020278930664, -583.215087890625
 316448.811392583, 41.3390045166016, 101.238433837891, -582.99365234375
 316448.813364833, 41.0904388427734, 102.057037353516, -583.155212402344
 316448.831012375, 41.3465881347656, 102.445861816406, -583.544067382812
 316448.832967875, 41.1837158203125, 103.346282958984, -583.166015625
 316448.850611375, 41.4200439453125, 104.491363525391, -583.175354003906
 316448.85225825, 41.1426849365234, 104.857833862305, -582.638610839844
 316448.87023725, 41.2626647949219, 105.39567565918, -581.871276855469
 316448.872601667, 41.0063323974609, 106.064834594727, -581.491394042969
 316448.889885708, 40.9691162109375, 106.592926025391, -581.264343261719
 316448.892005583, 40.9154510498047, 106.893508911133, -581.035461425781
 316448.909360917, 41.1738739013672, 107.283950805664, -581.038391113281
 316448.910984542, 41.1302642822266, 107.735565185547, -580.965087890625
 316448.929119833, 41.2008514404297, 107.662826538086, -581.118774414062
 316448.931267667, 40.9372100830078, 108.254867553711, -581.046936035156
 316448.948764, 40.8679809570312, 108.328567504883, -580.661743164062
 316448.950348917, 40.85791015625, 108.177536010742, -580.506103515625
 316448.968292, 40.8638763427734, 108.253692626953, -580.429565429688
 316448.969843417, 40.8698120117188, 108.329849243164, -580.353088378906
 316448.987940583, 41.0681915283203, 108.944366455078, -580.280822753906
 316448.9892905, 40.9073028564453, 108.860076904297, -580.511840820312
 316449.007595917, 41.0144958496094, 109.316925048828, -580.978576660156
 316449.009429458, 40.7636566162109, 110.133895874023, -581.526062011719
 316449.027188125, 40.9781646728516, 109.989593505859, -582.450622558594
 316449.028706708, 40.6893920898438, 110.276031494141, -582.916442871094
 316449.046850167, 41.0720977783203, 110.365127563477, -584.228637695312
 316449.048775042, 40.6054992675781, 110.339401245117, -585.000793457031
 316449.066334542, 40.7608795166016, 110.419830322266, -585.69580078125
 316449.068245625, 40.7380065917969, 110.187789916992, -586.774291992188
 316449.086025167, 40.7265930175781, 110.107757568359, -587.77685546875
 316449.087947875, 40.4795379638672, 109.941284179688, -588.624694824219
 316449.105702958, 40.6070251464844, 109.714172363281, -590.320434570312
 316449.107897542, 40.6689300537109, 109.563323974609, -591.013610839844
 316449.125326417, 39.7220306396484, 109.286315917969, -592.092956542969
 316449.127145542, 39.7793884277344, 109.132263183594, -593.557861328125
 316449.144926958, 39.5956268310547, 108.81591796875, -594.867370605469
 316449.146396542, 39.1932373046875, 108.640991210938, -595.946838378906
 316449.164634583, 38.8902587890625, 108.773468017578, -596.95166015625
 316449.166696667, 38.5223541259766, 107.996551513672, -597.79443359375
 316449.185275042, 38.224853515625, 108.204895019531, -598.799865722656
 316449.186801708, 37.7001953125, 107.418533325195, -600.105834960938
 316449.2037935, 37.5916137695312, 107.032669067383, -600.797302246094
 316449.205241083, 36.8711547851562, 106.691711425781, -601.721435546875
 316449.224612792, 36.7093811035156, 106.60676574707, -602.106811523438
 316449.226470333, 36.3684539794922, 106.208709716797, -603.029968261719
 316449.244251833, 35.7204284667969, 105.796310424805, -603.799072265625
 316449.245830125, 35.2910461425781, 105.242492675781, -604.798217773438
 316449.2639105, 34.9487457275391, 104.771499633789, -605.026245117188
 316449.265862917, 34.3722229003906, 104.287017822266, -605.794616699219
 316449.283279583, 33.9684753417969, 104.039138793945, -606.178955078125
 316449.285511625, 33.6889953613281, 103.417953491211, -606.94580078125
 316449.302544042, 33.6528625488281, 102.960647583008, -607.482177734375
 316449.304093542, 33.0621643066406, 102.250259399414, -607.86279296875
 316449.324081875, 32.5649566650391, 101.771133422852, -608.245300292969
 316449.32613025, 32.2982788085938, 101.302917480469, -608.704711914062
 316449.343710792, 31.9472961425781, 100.753814697266, -609.472290039062
 316449.345586333, 31.8259124755859, 100.143035888672, -609.544494628906
 316449.363173083, 31.0986175537109, 99.6533050537109, -609.772827148438
 316449.365059542, 30.8168334960938, 98.9585266113281, -609.998901367188
 316449.382790167, 30.6235198974609, 98.4195404052734, -610.14892578125
 316449.384658417, 30.2866973876953, 98.0243835449219, -610.377563476562
 316449.402944708, 30.0929107666016, 97.4850311279297, -610.604736328125
 316449.404875125, 30.2208404541016, 97.1143035888672, -610.369995117188
 316449.42327625, 29.8794708251953, 96.6439666748047, -610.443542480469
 316449.425225708, 29.8511047363281, 96.2641143798828, -610.5947265625
 316449.443760708, 29.3497619628906, 95.7101287841797, -610.7451171875
 316449.445791917, 29.1431884765625, 94.9458618164062, -610.353088378906
 316449.461607, 29.0542755126953, 94.7897644042969, -610.506164550781
 316449.463146667, 28.9420776367188, 94.3293914794922, -610.888305664062
 316449.481574458, 28.7615356445312, 93.9433288574219, -610.73095703125
 316449.483115625, 28.3367614746094, 93.3927459716797, -610.958374023438
 316449.501370167, 28.1057434082031, 93.3815002441406, -610.958618164062
 316449.503537625, 27.906494140625, 92.7663269042969, -611.185180664062
 316449.520957042, 27.6530609130859, 92.451416015625, -611.260009765625
 316449.52228675, 27.0797576904297, 91.9691772460938, -611.48828125
 316449.542856542, 26.9753265380859, 91.5862274169922, -611.485168457031
 316449.54446825, 26.4125213623047, 91.2553558349609, -611.791809082031
 316449.562073125, 26.1049652099609, 91.2406768798828, -611.714904785156
 316449.563980167, 25.7846374511719, 91.0730590820312, -611.945373535156
 316449.576585083, 25.2777862548828, 90.4431915283203, -612.095092773438
 316449.579387042, 24.8194427490234, 90.4952697753906, -612.404846191406
 316449.596213542, 24.2566680908203, 90.1643829345703, -612.711486816406
 316449.597813917, 24.3923492431641, 89.9430541992188, -613.018188476562
 316449.615859708, 23.8969879150391, 89.4652252197266, -613.091918945312
 316449.617383042, 23.6325836181641, 88.9986419677734, -613.16552734375
 316449.635540542, 23.01611328125, 88.9683380126953, -613.243225097656
