Relative Time Stamp (s),Barometic Pressure (kPa),Estimated Altitude a.s.l. (m)
317312.839331958, 102.212684631348, 0.0
 317313.871563333, 102.215301513672, -0.216667175292969
 317314.894137458, 102.217918395996, -0.433341979980469
 317315.92164525, 102.221771240234, -0.750419616699219
 317316.948982792, 102.222618103027, -0.82440185546875
 317317.976229, 102.222618103027, -0.82440185546875
 317318.9690885, 102.220039367676, -0.607734680175781
 317319.917706833, 102.21955871582, -0.57073974609375
 317320.872103583, 102.21955871582, -0.57073974609375
 317321.819231375, 102.218048095703, -0.44390869140625
 317322.770498167, 102.218048095703, -0.44390869140625
 317323.721895542, 102.219253540039, -0.544319152832031
 317324.675795875, 102.219459533691, -0.560173034667969
 317325.624277, 102.2197265625, -0.581314086914062
 317326.575694708, 102.219795227051, -0.586593627929688
 317327.530189833, 102.219795227051, -0.586593627929688
 317328.479305208, 102.219795227051, -0.586593627929688
 317329.436171542, 102.219924926758, -0.59716796875
 317330.380861167, 102.219924926758, -0.59716796875
 317331.334369333, 102.21996307373, -0.602447509765625
 317332.28370525, 102.21996307373, -0.602447509765625
 317333.238651708, 102.21996307373, -0.602447509765625
 317334.186599458, 102.219909667969, -0.59716796875
 317335.137980333, 102.219909667969, -0.59716796875
 317336.08932, 102.21997833252, -0.602447509765625
 317337.042546417, 102.220909118652, -0.681716918945312
 317337.995621, 102.220909118652, -0.681716918945312
 317338.94326525, 102.220611572266, -0.655296325683594
 317339.894588625, 102.220611572266, -0.655296325683594
 317340.845674958, 102.220611572266, -0.655296325683594
 317341.803512583, 102.220481872559, -0.644729614257812
 317342.751920042, 102.220481872559, -0.644729614257812
 317343.701052625, 102.220985412598, -0.687004089355469
 317344.650380125, 102.221626281738, -0.739852905273438
 317345.603809375, 102.221626281738, -0.739852905273438
 317346.555867417, 102.221641540527, -0.739852905273438
 317347.503935542, 102.221626281738, -0.739852905273438
 317348.458235417, 102.221626281738, -0.739852905273438
 317349.406344792, 102.221138000488, -0.702857971191406
 317350.360671708, 102.221138000488, -0.702857971191406
 317351.308564792, 102.221122741699, -0.69757080078125
 317352.262384708, 102.221122741699, -0.69757080078125
 317353.211312, 102.221122741699, -0.69757080078125
 317354.16414075, 102.221267700195, -0.708145141601562
 317355.112934625, 102.221267700195, -0.708145141601562
 317356.064019, 102.221160888672, -0.702857971191406
 317357.017975958, 102.221160888672, -0.702857971191406
 317357.967659917, 102.221412658691, -0.7239990234375
 317358.917716583, 102.221412658691, -0.7239990234375
 317359.868168167, 102.221328735352, -0.713424682617188
 317360.823157708, 102.221321105957, -0.713424682617188
 317361.771552458, 102.221168518066, -0.702857971191406
 317362.725075042, 102.221038818359, -0.692291259765625
 317363.673815917, 102.220794677734, -0.671150207519531
 317364.623413792, 102.221038818359, -0.692291259765625
 317365.576489708, 102.221054077148, -0.692291259765625
 317366.530189, 102.221138000488, -0.702857971191406
 317367.477961583, 102.221138000488, -0.702857971191406
 317368.427826875, 102.221015930176, -0.687004089355469
 317369.382414, 102.220809936523, -0.671150207519531
 317370.332736042, 102.220748901367, -0.665863037109375
 317371.281042625, 102.220588684082, -0.655296325683594
 317372.235224, 102.220588684082, -0.655296325683594
 317373.183312125, 102.220756530762, -0.665863037109375
 317374.136639542, 102.220901489258, -0.681716918945312
 317375.085424, 102.221000671387, -0.687004089355469
 317376.036524042, 102.221000671387, -0.687004089355469
 317376.987591458, 102.221000671387, -0.687004089355469
 317377.945939917, 102.220710754395, -0.665863037109375
 317378.890036542, 102.220481872559, -0.644729614257812
 317379.841355958, 102.220458984375, -0.644729614257812
 317380.792924583, 102.220458984375, -0.644729614257812
 317381.745283042, 102.22013092041, -0.618301391601562
 317382.698186458, 102.220077514648, -0.613021850585938
 317383.646643083, 102.219734191895, -0.581314086914062
 317384.599853167, 102.219665527344, -0.576026916503906
 317385.549318292, 102.219497680664, -0.565460205078125
 317386.503767417, 102.21940612793, -0.554885864257812
 317387.455263708, 102.21940612793, -0.554885864257812
 317388.404577458, 102.219421386719, -0.560173034667969
 317389.354651167, 102.219520568848, -0.565460205078125
 317390.311452333, 102.2197265625, -0.581314086914062
 317391.260944208, 102.2197265625, -0.581314086914062
 317392.208483167, 102.2197265625, -0.581314086914062
 317393.161270667, 102.21989440918, -0.59716796875
 317394.1112325, 102.21989440918, -0.59716796875
 317395.064927708, 102.219932556152, -0.59716796875
 317396.0176365, 102.21989440918, -0.59716796875
 317396.965244833, 102.21989440918, -0.59716796875
 317397.9164155, 102.219841003418, -0.591880798339844
 317398.871601667, 102.219841003418, -0.591880798339844
 317399.821579667, 102.219993591309, -0.607734680175781
 317400.776477625, 102.220031738281, -0.607734680175781
 317401.721483125, 102.220153808594, -0.618301391601562
 317402.672849833, 102.220153808594, -0.618301391601562
 317403.62573675, 102.219825744629, -0.591880798339844
 317404.579627083, 102.219741821289, -0.586593627929688
 317405.526736417, 102.219284057617, -0.544319152832031
 317406.47807425, 102.218887329102, -0.512611389160156
 317407.432883542, 102.218887329102, -0.512611389160156
 317408.381561125, 102.218887329102, -0.512611389160156
 317409.336157292, 102.21851348877, -0.480903625488281
 317410.283594333, 102.21851348877, -0.480903625488281
 317411.237153417, 102.218460083008, -0.480903625488281
 317412.186406792, 102.21849822998, -0.480903625488281
 317413.139789208, 102.218315124512, -0.465049743652344
 317414.093929083, 102.218048095703, -0.44390869140625
 317415.04063575, 102.21785736084, -0.428054809570312
 317415.993770542, 102.217391967773, -0.391067504882812
 317416.943504, 102.217239379883, -0.3804931640625
 317417.89755225, 102.217056274414, -0.364639282226562
 317418.850054458, 102.217025756836, -0.359359741210938
 317419.798884, 102.217056274414, -0.364639282226562
 317420.749149042, 102.21704864502, -0.364639282226562
 317421.700546208, 102.21704864502, -0.364639282226562
 317422.655158167, 102.216918945312, -0.348785400390625
 317423.603131208, 102.21671295166, -0.332931518554688
 317424.554163542, 102.216621398926, -0.327644348144531
 317425.509249, 102.216621398926, -0.327644348144531
 317426.457476542, 102.216590881348, -0.322364807128906
 317427.413415208, 102.216529846191, -0.31707763671875
 317428.359655125, 102.216484069824, -0.31707763671875
 317429.313955333, 102.21647644043, -0.31707763671875
 317430.262545, 102.216247558594, -0.295936584472656
 317431.215020333, 102.216133117676, -0.285369873046875
 317432.168259417, 102.216133117676, -0.285369873046875
 317433.116784833, 102.216415405273, -0.306510925292969
 317434.070171667, 102.216606140137, -0.327644348144531
 317435.019508875, 102.21671295166, -0.332931518554688
 317435.97537125, 102.21696472168, -0.354072570800781
 317436.927099583, 102.217147827148, -0.369926452636719
 317437.874367917, 102.217147827148, -0.369926452636719
 317438.825249292, 102.217147827148, -0.369926452636719
 317439.77880625, 102.217636108398, -0.412200927734375
 317440.729766167, 102.217636108398, -0.412200927734375
 317441.683809667, 102.21760559082, -0.40692138671875
 317442.631217125, 102.215370178223, -0.221954345703125
 317443.582648375, 102.214416503906, -0.142684936523438
 317444.534389292, 102.213241577148, -0.0475616455078125
 317445.4875315, 102.208862304688, 0.31707763671875
 317446.441526833, 102.204483032227, 0.676429748535156
 317447.389330167, 102.204483032227, 0.676429748535156
 317448.341031167, 102.204483032227, 0.676429748535156
 317449.297986917, 102.202880859375, 0.808547973632812
 317450.24449825, 102.202880859375, 0.808547973632812
 317451.198402333, 102.207168579102, 0.454475402832031
 317452.15252025, 102.209617614746, 0.253662109375
 317453.099754958, 102.209907531738, 0.227241516113281
 317454.051440167, 102.211204528809, 0.121543884277344
 317455.004829042, 102.212860107422, -0.0158538818359375
